t0_tag,gene,sim_l2_end,sim_l2_start,scan_l2,bio_rank,mean_expr,frac_expr,is_ref,sim_rank
t70d_RG,MIR9-1HG,0.46963573,0.25111514,0.25111514,5,9.098686,0.7833576642335767,False,1
t70d_RG,NACA,0.4400819,0.28709322,0.28709322,2,4.8554745,0.9667153284671532,False,2
t70d_RG,TUBA1B,0.4338301,0.30695167,0.30695167,1,13.150365,0.9497810218978102,False,3
t70d_RG,CKB,0.4321821,0.2604324,0.2604324,3,9.699854,0.9763503649635036,False,4
t70d_RG,PTN,0.4299298,0.2270489,0.2270489,7,9.64438,0.7816058394160584,False,5
t70d_RG,FABP7,0.41805643,0.25511453,0.25511453,4,7.8864236,0.7725547445255474,False,6
t70d_RG,STMN1,0.4077998,0.22217232,0.22217232,9,9.48,0.9836496350364964,False,7
t70d_RG,MAP1B,0.40511578,0.2180596,0.2180596,11,8.394452,0.9667153284671532,False,8
t70d_RG,NFIA,0.39697707,0.20969468,0.20969468,12,5.4335766,0.8262773722627738,False,9
t70d_RG,NFIB,0.3812188,0.20556094,0.20556094,14,4.829197,0.8423357664233576,False,10
t70d_RG,MARCKS,0.35765904,0.2420789,0.2420789,6,5.3754745,0.964963503649635,False,11
t70d_RG,HMGB1,0.34941697,0.20927943,0.20927943,13,13.110073,0.9906569343065692,False,12
t70d_RG,MEIS2,0.3470503,0.19750121,0.19750121,15,4.8969345,0.6426277372262774,False,13
t70d_RG,H2AZ1,0.3456411,0.22146204,0.22146204,10,8.823358,0.9448175182481752,False,14
t70d_RG,PANTR1,0.34388977,0.17887503,0.17887503,18,3.511241,0.8154744525547445,False,15
t70d_RG,NPAS3,0.34200823,0.16272694,0.16272694,20,6.6239414,0.9413138686131388,False,16
t70d_RG,MARCKSL1,0.33568794,0.19525419,0.19525419,17,6.359124,0.9862773722627736,False,17
t70d_RG,TPI1,0.31825528,0.17246673,0.17246673,19,3.90073,0.9162043795620438,False,18
t70d_RG,MIR99AHG,0.31262246,0.1481039,0.1481039,21,6.128467,0.9144525547445256,False,19
t70d_RG,SOX11,0.30683073,0.22454768,0.22454768,8,2.04,0.5792700729927007,False,20
t70d_RG,NKAIN3,0.30504248,0.13243121,0.13243121,26,4.9214597,0.8616058394160584,False,21
t70d_RG,SOX5,0.30382448,0.13863422,0.13863422,24,5.502774,0.9074452554744524,False,22
t70d_RG,HES1,0.28883097,0.14449981,0.14449981,23,5.0508027,0.8478832116788321,True,23
t70d_RG,NAP1L1,0.2819846,0.10897167,0.10897167,50,5.5661316,0.9348905109489052,False,24
t70d_RG,TCF7L2-1,0.28035563,0.12487293,0.12487293,31,3.2458394,0.7921167883211678,False,25
t70d_RG,HNRNPH1,0.2790412,0.19657987,0.19657987,16,1.9941605,0.6616058394160584,False,26
t70d_RG,FOS,0.27138433,0.13015844,0.13015844,27,4.140146,0.5886131386861314,False,27
t70d_RG,NNAT,0.26936594,0.12477599,0.12477599,32,3.6945984,0.8656934306569343,False,28
t70d_RG,DACH1,0.2677593,0.11868963,0.11868963,38,3.7132847,0.670948905109489,False,29
t70d_RG,TUBB3,0.26314175,0.11505629,0.11505629,43,2.2423358,0.7967883211678832,False,30
t70d_RG,NPM1,0.2619019,0.1189774,0.1189774,36,4.170511,0.9471532846715328,False,31
t70d_RG,EMX2,0.25914192,0.116600245,0.116600245,41,1.790365,0.5456934306569343,False,32
t70d_RG,NR2F1,0.25736699,0.11870495,0.11870495,37,1.4864234,0.5643795620437956,False,33
t70d_RG,SOX4,0.25553825,0.12003148,0.12003148,34,3.7506568,0.8665693430656934,False,34
t70d_RG,PKM,0.2550129,0.13287525,0.13287525,25,2.7223358,0.8604379562043796,False,35
t70d_RG,TTYH1,0.25470692,0.11567057,0.11567057,42,3.3976643,0.8551824817518248,False,36
t70d_RG,PTPRZ1,0.25288698,0.096730225,0.096730225,62,3.250803,0.8624817518248176,False,37
t70d_RG,LINC00461,0.25253022,0.116700664,0.116700664,40,3.0569344,0.8224817518248175,False,38
t70d_RG,NLGN1,0.25146705,0.100737624,0.100737624,57,4.688175,0.8122627737226278,False,39
t70d_RG,GAS5,0.24942665,0.10911679,0.10911679,49,2.2183943,0.8186861313868613,False,40
t70d_RG,BASP1,0.24936438,0.10385733,0.10385733,56,2.6437957,0.8096350364963504,False,41
t70d_RG,MPPED2,0.24926496,0.10976122,0.10976122,47,2.3360584,0.6172262773722628,False,42
t70d_RG,LINC01551,0.24875969,0.11976218,0.11976218,35,2.2078831,0.5331386861313868,False,43
t70d_RG,TCF7L2,0.24764994,0.111066125,0.111066125,44,1.8727007,0.5527007299270073,False,44
t70d_RG,ADGRB3,0.2476038,0.10652526,0.10652526,52,5.418686,0.8966423357664234,False,45
t70d_RG,SET,0.24631034,0.14580493,0.14580493,22,1.9220438,0.741897810218978,False,46
t70d_RG,PAX6,0.24325927,0.12430174,0.12430174,33,1.4867153,0.6096350364963503,True,47
t70d_RG,QKI,0.24058998,0.09397826,0.09397826,66,4.309197,0.8861313868613139,False,48
t70d_RG,JUN,0.24041206,0.12859821,0.12859821,29,4.4864235,0.8274452554744526,False,49
t70d_RG,HMGB2,0.2403127,0.105940595,0.105940595,54,7.0943065,0.7854014598540145,False,50
t70d_RG,TUBB2A,0.23989521,0.10985613,0.10985613,45,2.438832,0.7252554744525548,False,51
