gene,ko_l2_mean,ko_centroid_shift,mean_expr,frac_expr,rank,t0_tag
MALAT1,0.64050233,0.5992708,78.41474,0.25722543352601157,1,t115d_RG
TUBA1A,0.28631824,0.24975757,9.687861,0.8880057803468208,2,t115d_RG
RPLP1,0.27168182,0.2449905,8.019508,0.8916184971098265,3,t115d_RG
NFIA,0.25081983,0.20860368,14.479769,0.9183526011560693,4,t115d_RG
HSP90AA1,0.23460214,0.21345364,10.617775,0.8200867052023122,5,t115d_RG
RPS18,0.23105446,0.21074615,5.510838,0.8482658959537572,6,t115d_RG
MT-CO1,0.22706838,0.21192046,10.719653,0.25722543352601157,7,t115d_RG
NFIB,0.21638176,0.1839045,9.111994,0.9017341040462428,8,t115d_RG
ACTG1,0.21574022,0.18854955,7.2268786,0.8171965317919075,9,t115d_RG
PTN,0.21369004,0.18079756,13.617775,0.9082369942196532,10,t115d_RG
RPS2,0.21227701,0.19460507,4.9660406,0.8526011560693642,11,t115d_RG
MT-ND4,0.20467111,0.193169,8.0700865,0.25578034682080925,12,t115d_RG
NRXN1,0.19317347,0.14439897,17.072977,0.9559248554913294,13,t115d_RG
MEIS2,0.18026835,0.15254442,11.043352,0.5924855491329479,14,t115d_RG
ACTB,0.17732812,0.15214708,6.1242776,0.7695086705202312,15,t115d_RG
NPAS3,0.17404796,0.13868687,15.860549,0.9566473988439307,16,t115d_RG
MIR99AHG,0.16689673,0.13586837,18.51373,0.9689306358381503,17,t115d_RG
TMSB4X,0.1664676,0.1332028,4.2145953,0.809971098265896,18,t115d_RG
MT-ATP6,0.16506968,0.15590069,11.234104,0.25722543352601157,19,t115d_RG
MT-RNR2,0.16468962,0.13668302,9.916185,0.25722543352601157,20,t115d_RG
TMSB10,0.16273238,0.13115029,5.113439,0.8988439306358381,21,t115d_RG
TCF7L2,0.16204144,0.12802495,5.711705,0.8041907514450867,22,t115d_RG
RPL39,0.16187893,0.14222741,4.3489885,0.819364161849711,23,t115d_RG
HSPA1A,0.15687047,0.13678317,7.8179193,0.6842485549132948,24,t115d_RG
AUTS2,0.15291363,0.12298925,10.314306,0.9689306358381503,25,t115d_RG
RPL3,0.1519909,0.13190958,4.75,0.7391618497109826,26,t115d_RG
MT-CO2,0.15035675,0.13759096,9.864884,0.25722543352601157,27,t115d_RG
MT-CO3,0.14966989,0.14029485,10.397399,0.25722543352601157,28,t115d_RG
GRID2,0.14155376,0.10700763,11.590318,0.9067919075144508,29,t115d_RG
NACA,0.13933608,0.12435519,3.3612716,0.7117052023121387,30,t115d_RG
VIM,0.13840069,0.11540431,11.848989,0.634393063583815,31,t115d_RG
MT-CYB,0.13763663,0.12842302,8.005057,0.25722543352601157,32,t115d_RG
MIR9-1HG,0.13450046,0.11419289,4.882948,0.7702312138728323,33,t115d_RG
QKI,0.13296172,0.109281175,13.521676,0.9393063583815029,34,t115d_RG
RPL41,0.13246574,0.109984845,4.033237,0.8446531791907514,35,t115d_RG
SOX11,0.1316179,0.11000538,2.0520232,0.6582369942196532,36,t115d_RG
MAP1B,0.13059711,0.1070617,5.3063583,0.8952312138728323,37,t115d_RG
RPS6,0.12773181,0.115248434,3.351156,0.7398843930635838,38,t115d_RG
NKAIN3,0.12570629,0.10561655,11.422688,0.7875722543352601,39,t115d_RG
NRG3,0.12460221,0.09932609,9.588873,0.9523121387283237,40,t115d_RG
RPS10,0.1237408,0.108268395,2.6560693,0.5736994219653179,41,t115d_RG
LINC00461,0.12335911,0.10260693,6.102601,0.8894508670520231,42,t115d_RG
MARCKS,0.122801766,0.10373942,4.70737,0.7059248554913294,43,t115d_RG
SOX5,0.12239079,0.09251873,9.024567,0.9190751445086706,44,t115d_RG
ZBTB20,0.12178595,0.09663217,9.843208,0.8721098265895953,45,t115d_RG
ADGRB3,0.12151312,0.08719418,18.623554,0.9653179190751445,46,t115d_RG
RPS5,0.119929075,0.108014576,2.9884393,0.7023121387283237,47,t115d_RG
PCDH9,0.11972435,0.10101006,5.521676,0.8229768786127167,48,t115d_RG
HSPA1B,0.117924064,0.10360169,4.3070807,0.5953757225433526,49,t115d_RG
LSAMP,0.11741088,0.08345673,9.964596,0.9465317919075145,50,t115d_RG
ANKS1B,0.117113434,0.08886104,5.7080927,0.9089595375722543,51,t115d_RG
ROBO2,0.11598113,0.09114524,7.4378614,0.7861271676300579,52,t115d_RG
DACH1,0.11542308,0.0924859,5.851156,0.7760115606936416,53,t115d_RG
FABP7,0.114177436,0.09265441,6.2745667,0.619942196531792,54,t115d_RG
NAV3,0.11328436,0.09251778,4.680636,0.740606936416185,55,t115d_RG
RPSA,0.11301638,0.103252776,2.6213872,0.6878612716763006,56,t115d_RG
MIR100HG,0.11212027,0.083398744,4.224711,0.865606936416185,57,t115d_RG
ADGRV1,0.11117264,0.08730012,14.534682,0.7608381502890174,58,t115d_RG
RPL13A,0.10964803,0.09046367,2.2666185,0.7413294797687862,59,t115d_RG
CASC15,0.1072548,0.09049265,5.155347,0.8583815028901735,60,t115d_RG
LINC01965,0.106696,0.08533932,8.71315,0.43858381502890176,61,t115d_RG
DLGAP1,0.106328614,0.08470093,7.642341,0.7312138728323699,62,t115d_RG
HNRNPH1,0.105884664,0.09167794,1.6712428,0.634393063583815,63,t115d_RG
STMN1,0.105812654,0.08782504,3.3706648,0.7666184971098265,64,t115d_RG
PANTR1,0.10580633,0.0911489,3.458815,0.6524566473988439,65,t115d_RG
PTPRZ1,0.104957856,0.07923491,9.654624,0.786849710982659,66,t115d_RG
GAPDH,0.10396172,0.08787072,4.197977,0.6495664739884393,67,t115d_RG
HMGB1,0.1026763,0.08548077,4.353324,0.8027456647398844,68,t115d_RG
PTPRD,0.10233695,0.07934901,5.677746,0.8901734104046243,69,t115d_RG
SOX2-OT,0.10222136,0.08570425,3.5643063,0.7239884393063584,70,t115d_RG
MT-RNR1,0.10099044,0.08832937,2.9205203,0.2536127167630058,71,t115d_RG
METAP2,0.100693256,0.07827619,5.544075,0.9328034682080925,72,t115d_RG
NLGN1,0.10054832,0.074284,8.537572,0.8511560693641619,73,t115d_RG
SOX6,0.10047441,0.07355595,6.5498557,0.8070809248554913,74,t115d_RG
CTNND2,0.10026914,0.07229229,9.063583,0.9682080924855492,75,t115d_RG
RPLP0,0.100142375,0.0897165,2.2001445,0.6799132947976878,76,t115d_RG
BASP1,0.09999122,0.0786868,4.853324,0.8020231213872833,77,t115d_RG
CADM2,0.09685364,0.078859754,6.5130057,0.7622832369942196,78,t115d_RG
GPM6A,0.096573606,0.070107564,6.75578,0.9328034682080925,79,t115d_RG
GLI3,0.095643334,0.073756,6.114162,0.5982658959537572,80,t115d_RG
PTPRM,0.095533445,0.067808785,6.480491,0.7940751445086706,81,t115d_RG
MPP2,0.09532657,0.07816832,4.544075,0.7940751445086706,82,t115d_RG
PARD3B,0.09362321,0.07136206,5.8460984,0.8526011560693642,83,t115d_RG
NR2F1,0.09346414,0.08253029,1.8937861,0.5932080924855492,84,t115d_RG
NRG1-1,0.093332544,0.07119852,14.2536125,0.721820809248555,85,t115d_RG
PTPRS,0.09311678,0.07902055,1.7160405,0.6842485549132948,86,t115d_RG
NCAM2,0.09259739,0.06899467,5.194364,0.8757225433526011,87,t115d_RG
CKB,0.08892711,0.07691267,4.232659,0.6734104046242775,88,t115d_RG
MPPED2,0.08844541,0.07467276,3.9371388,0.583092485549133,89,t115d_RG
SETBP1,0.08807988,0.066426255,5.9125724,0.8533236994219653,90,t115d_RG
RORA-2,0.08759645,0.061198648,5.601156,0.8952312138728323,91,t115d_RG
NCKAP5,0.08723919,0.055149794,5.9486995,0.875,92,t115d_RG
NEDD4L,0.08621713,0.06829693,6.9024568,0.7030346820809249,93,t115d_RG
TCF7L2-1,0.08583254,0.06110352,3.9212427,0.7001445086705202,94,t115d_RG
RBFOX1,0.085142456,0.05945282,4.380058,0.6683526011560693,95,t115d_RG
ANK2,0.08489707,0.06784226,4.49711,0.7239884393063584,96,t115d_RG
TUBB2A,0.08342239,0.070547275,2.477601,0.6625722543352601,97,t115d_RG
MSI2,0.08210305,0.063837774,4.8395953,0.8171965317919075,98,t115d_RG
SLC1A3,0.081920676,0.062230047,5.12789,0.7875722543352601,99,t115d_RG
NTM,0.08132344,0.06303785,3.0852602,0.7167630057803468,100,t115d_RG
TTYH1,0.081267826,0.066695414,4.7044797,0.6286127167630058,101,t115d_RG
CELF2,0.08073537,0.060473908,4.663295,0.8359826589595376,102,t115d_RG
CSMD1,0.0805499,0.061511096,2.9140174,0.5888728323699421,103,t115d_RG
PRKG1,0.08043186,0.060801584,5.086705,0.8143063583815029,104,t115d_RG
PBX1,0.08010738,0.06789255,3.8706648,0.8179190751445087,105,t115d_RG
MARCKSL1,0.07864348,0.05787488,2.7630057,0.6770231213872833,106,t115d_RG
AKAP6,0.077793345,0.062019344,3.1083815,0.8439306358381503,107,t115d_RG
TMEM132B,0.07712122,0.05784813,5.3150287,0.5245664739884393,108,t115d_RG
RERE,0.07703452,0.06014303,3.9479768,0.8930635838150289,109,t115d_RG
GRIA1,0.07668655,0.064724356,1.958815,0.6828034682080925,110,t115d_RG
MAGI2,0.07638949,0.054612614,4.9421964,0.8807803468208093,111,t115d_RG
TUBB3,0.07634645,0.056671478,1.5975434,0.6445086705202312,112,t115d_RG
TUBA1B,0.07615951,0.066349,2.8540463,0.5447976878612717,113,t115d_RG
TNC,0.07580758,0.05974414,2.150289,0.5144508670520231,114,t115d_RG
NFIX,0.07549504,0.060897764,1.6163294,0.5700867052023122,115,t115d_RG
AFF3,0.074893974,0.05488159,3.00289,0.7651734104046243,116,t115d_RG
MAPK10,0.07442884,0.058663573,3.3540463,0.8265895953757225,117,t115d_RG
TAFA1,0.07366993,0.05488619,1.8843931,0.5267341040462428,118,t115d_RG
NKAIN2,0.07352633,0.05617532,2.49711,0.5982658959537572,119,t115d_RG
NRXN3,0.07319233,0.058668256,1.7304913,0.4797687861271676,120,t115d_RG
GPC6,0.072920494,0.054619405,5.6748557,0.6755780346820809,121,t115d_RG
ERBB4,0.07279531,0.05587545,2.6632948,0.48988439306358383,122,t115d_RG
LRRC4C,0.07232863,0.04823825,3.449422,0.6893063583815029,123,t115d_RG
SHROOM3,0.07232709,0.05437888,5.4985547,0.694364161849711,124,t115d_RG
HMGCS1,0.07199355,0.06222725,3.4609826,0.638728323699422,125,t115d_RG
LIMCH1,0.07161202,0.05759707,2.6322255,0.7189306358381503,126,t115d_RG
MAST4,0.071498744,0.054981466,3.474711,0.5903179190751445,127,t115d_RG
CLU,0.071215026,0.06326157,3.0809247,0.4725433526011561,128,t115d_RG
GPM6B,0.070133075,0.05515643,5.8475432,0.838150289017341,129,t115d_RG
ZFHX4,0.07009177,0.05916167,2.7297688,0.4985549132947977,130,t115d_RG
CSMD2,0.06943918,0.050610065,2.6163294,0.7651734104046243,131,t115d_RG
NTRK2,0.06935628,0.054653563,2.9328034,0.48627167630057805,132,t115d_RG
DCLK1,0.06902128,0.04688202,3.6018786,0.8721098265895953,133,t115d_RG
NCAM1,0.06814391,0.048831485,3.7810693,0.8244219653179191,134,t115d_RG
CTNNA2,0.067893125,0.05558355,4.230491,0.5505780346820809,135,t115d_RG
KAZN,0.0678792,0.046175607,5.5419073,0.8273121387283237,136,t115d_RG
MAGI1,0.0676717,0.0479039,3.8453758,0.8554913294797688,137,t115d_RG
MGAT4C,0.066913,0.05210679,3.0433526,0.5086705202312138,138,t115d_RG
FOXP1,0.065364584,0.0483924,2.694364,0.680635838150289,139,t115d_RG
SNTG1,0.065238774,0.051978048,4.8092484,0.4963872832369942,140,t115d_RG
PDE4D,0.064700276,0.048369277,2.416185,0.6856936416184971,141,t115d_RG
SOX4,0.06464241,0.045758322,2.41763,0.6748554913294798,142,t115d_RG
CREB5,0.06449157,0.04968768,3.8504336,0.5816473988439307,143,t115d_RG
ROBO1,0.06413055,0.044935275,3.2796242,0.7196531791907514,144,t115d_RG
CTNNB1,0.06399773,0.05360141,1.3959538,0.6026011560693642,145,t115d_RG
NNAT,0.06351097,0.05134486,3.1683526,0.6242774566473989,146,t115d_RG
FOXP2,0.06287434,0.052372713,1.5765896,0.5426300578034682,147,t115d_RG
FBXL7,0.06273412,0.033696044,7.36922,0.8114161849710982,148,t115d_RG
