gene,bio_rank,ko_l2_mean,mean_expr,frac_expr
ROBO1,113,0.06413055,3.2796242,0.7196531791907514
CTNNB1,114,0.06399773,1.3959538,0.6026011560693642
NNAT,115,0.06351097,3.1683526,0.6242774566473989
FOXP2,116,0.06287434,1.5765896,0.5426300578034682
FBXL7,117,0.06273412,7.36922,0.8114161849710982
DOK5,118,0.062454842,3.074422,0.513728323699422
FAT3,119,0.06201236,3.226156,0.7687861271676301
ID4,120,0.061782673,3.463873,0.6358381502890174
SLC35F1,121,0.06178238,4.5881505,0.7911849710982659
ZEB1,122,0.06145141,3.4436417,0.7427745664739884
TMTC2,123,0.061430298,3.3800578,0.7333815028901735
DMD,124,0.06079632,3.7695086,0.8692196531791907
TNRC6B,125,0.06069411,2.5513005,0.786849710982659
PCDHGB4,126,0.060646597,1.2427746,0.4118497109826589
LTBP1,127,0.060543764,4.264451,0.5708092485549133
CDH4,128,0.060130224,2.7117052,0.6286127167630058
TOX,129,0.059935488,2.9942195,0.6726878612716763
TCF12,130,0.05967877,3.3684971,0.8453757225433526
EEPD1,131,0.059656188,3.3836706,0.5917630057803468
VCAN,132,0.059581835,3.3908958,0.7543352601156069
PLEKHA5,133,0.05946889,3.965318,0.7897398843930635
PTMS,134,0.059217438,1.682081,0.5852601156069365
STMN2,135,0.058596496,1.1986995,0.5433526011560693
PTPRG,136,0.05851323,3.7463872,0.7326589595375722
TMEM163,137,0.05828455,2.3027456,0.4942196531791907
BCAN,138,0.056772333,2.2290463,0.4241329479768786
SET,139,0.056768715,1.1856936,0.4934971098265896
MSRA,140,0.05661164,1.816474,0.6293352601156069
MARCHF1,141,0.05656776,2.37211,0.6589595375722543
FRMD4A,142,0.056407124,2.3395953,0.7066473988439307
GPHN,143,0.05638385,2.8894508,0.8070809248554913
FUT9,144,0.05626566,3.2825143,0.6950867052023122
TMEM132D,145,0.055933736,3.3648844,0.3432080924855491
KCNH7,146,0.05555285,5.613439,0.6452312138728323
CDON,147,0.055481154,2.1040463,0.4378612716763005
RTN1,148,0.055340916,1.9118497,0.625
CLASP2,149,0.0551791,3.2052023,0.8540462427745664
PHACTR1,150,0.054999974,2.6083815,0.7117052023121387
PAX6,151,0.05440858,0.8569364,0.4132947976878612
LRRTM4,152,0.054394655,3.8757226,0.6083815028901735
PLCE1,153,0.054352082,2.2413294,0.6459537572254336
DAB1,154,0.05428957,2.343208,0.6408959537572254
MLLT3,155,0.05418421,2.1098266,0.648121387283237
SOX2,156,0.05417471,0.89089596,0.4089595375722543
CALM1,157,0.053629044,1.9046242,0.6705202312138728
PDE1A,158,0.05359708,1.4046242,0.5296242774566474
DCC,159,0.05336626,1.5895953,0.5108381502890174
NTNG2,160,0.05321872,1.1726879,0.4270231213872832
MSMO1,161,0.053129185,2.0895953,0.5773121387283237
ATP1A2,162,0.05310715,1.1712428,0.476878612716763
H2AZ1,163,0.053028855,1.6488439,0.4523121387283237
EXT1,164,0.052936144,3.5867052,0.796242774566474
EPHA5,165,0.052692175,1.984104,0.4725433526011561
PPP2R2B,166,0.05199577,2.308526,0.6351156069364162
DSCAM,167,0.05195314,1.4089595,0.4891618497109826
COL11A1,168,0.051775057,2.5592484,0.546242774566474
