gene,ko_l2_mean,ko_centroid_shift,mean_expr,frac_expr,rank,t0_tag
TCF7L2,0.111066125,0.09100643,1.8727007,0.5527007299270073,77,t70d_RG
TUBB2A,0.10985613,0.09527542,2.438832,0.7252554744525548,78,t70d_RG
FABP5P1,0.10981466,0.09660257,2.5089052,0.7313868613138687,79,t70d_RG
MPPED2,0.10976122,0.098521546,2.3360584,0.6172262773722628,80,t70d_RG
RANBP1,0.10962752,0.09508778,3.0668614,0.8732846715328467,81,t70d_RG
GAS5,0.10911679,0.096219905,2.2183943,0.8186861313868613,82,t70d_RG
NAP1L1,0.10897167,0.085381724,5.5661316,0.9348905109489051,83,t70d_RG
LDHB,0.106892586,0.088962235,3.049635,0.8817518248175182,84,t70d_RG
ADGRB3,0.10652526,0.08610721,5.418686,0.8966423357664234,85,t70d_RG
PTMS,0.105963305,0.09168471,2.4814599,0.7585401459854014,86,t70d_RG
HMGB2,0.105940595,0.07847345,7.0943065,0.7854014598540145,87,t70d_RG
RAN,0.10455119,0.08985638,4.150949,0.9284671532846716,88,t70d_RG
BASP1,0.10385733,0.08681673,2.6437957,0.8096350364963504,89,t70d_RG
NLGN1,0.100737624,0.08052897,4.688175,0.8122627737226278,90,t70d_RG
CREB5,0.100026906,0.08234192,3.821606,0.7054014598540146,91,t70d_RG
AUTS2,0.099339545,0.0790582,3.9927008,0.8925547445255474,92,t70d_RG
EIF4A1,0.098707035,0.08282406,3.8148906,0.9255474452554745,93,t70d_RG
CDC42,0.0978498,0.090372674,1.4569343,0.6627737226277373,94,t70d_RG
PTPRZ1,0.096730225,0.076313615,3.250803,0.8624817518248176,95,t70d_RG
SKP1,0.09554978,0.075355075,3.5445256,0.9392700729927007,96,t70d_RG
SOX2-OT,0.09537824,0.08236672,2.098102,0.637956204379562,97,t70d_RG
NUCKS1,0.094487645,0.081618346,2.8540146,0.7722627737226277,98,t70d_RG
QKI,0.09397826,0.07869436,4.309197,0.8861313868613139,99,t70d_RG
ZFP36L1,0.09333425,0.07759822,2.7506568,0.7994160583941606,100,t70d_RG
ERBB4,0.093328536,0.07818443,2.9357665,0.4143065693430657,101,t70d_RG
JPT1,0.09279573,0.078973494,2.9915328,0.8265693430656934,102,t70d_RG
GLI3,0.091979876,0.07623079,2.0221899,0.64,103,t70d_RG
TMSB15A,0.091504335,0.07527941,3.319124,0.8916788321167883,104,t70d_RG
CCNI,0.09131933,0.07600304,2.739854,0.8528467153284671,105,t70d_RG
DUT,0.09084934,0.08007652,1.8411679,0.6937226277372263,106,t70d_RG
GSTP1,0.09050727,0.07184429,3.1719708,0.8893430656934307,107,t70d_RG
CASC15,0.08899015,0.07567396,2.7036495,0.7772262773722628,108,t70d_RG
HMGA2,0.08802811,0.07428882,2.2671533,0.6043795620437956,109,t70d_RG
DLGAP1,0.0876706,0.07526585,2.6858394,0.6353284671532847,110,t70d_RG
CLU,0.08659018,0.07764522,1.5170803,0.6528467153284672,111,t70d_RG
MDK,0.085051164,0.07465155,2.1737227,0.7497810218978103,112,t70d_RG
PTGES3,0.0847486,0.07218569,3.2770803,0.9091970802919708,113,t70d_RG
HSPD1,0.08376365,0.073425494,1.9275912,0.7524087591240876,114,t70d_RG
DYNLL1-1,0.083124965,0.06610408,3.3287592,0.8934306569343066,115,t70d_RG
HSPE1,0.08075356,0.067443445,2.3950365,0.8093430656934306,116,t70d_RG
LINC01965,0.08055918,0.0649775,2.0353284,0.39211678832116786,117,t70d_RG
HMGN3,0.08007207,0.05920746,3.631533,0.9001459854014598,118,t70d_RG
HMGCS1,0.08006394,0.07023036,2.2472992,0.703941605839416,119,t70d_RG
CALM1,0.07998807,0.06119809,2.4429197,0.8169343065693431,120,t70d_RG
ZBTB20,0.07977194,0.06451633,2.5456934,0.7675912408759125,121,t70d_RG
CNN3,0.077952355,0.062555455,2.8560584,0.8808759124087592,122,t70d_RG
H4C3,0.07736582,0.06385874,4.6058393,0.4391240875912409,123,t70d_RG
MIR100HG,0.07732539,0.057219043,2.1626277,0.632992700729927,124,t70d_RG
EIF4A2,0.07700536,0.06464411,2.5337226,0.875036496350365,125,t70d_RG
EGR1,0.076994404,0.07078184,1.1296351,0.26248175182481753,126,t70d_RG
CDON,0.074852645,0.0656619,1.4837956,0.5398540145985401,127,t70d_RG
SETBP1,0.074842736,0.059887163,2.751241,0.807007299270073,128,t70d_RG
DOK5,0.073322,0.061020155,1.7421898,0.5363503649635036,129,t70d_RG
GPM6B,0.07265985,0.059793565,2.9635036,0.8318248175182482,130,t70d_RG
GPC6,0.07223451,0.059093453,2.6910949,0.6872992700729927,131,t70d_RG
HES4,0.07210571,0.059784483,2.1325548,0.7118248175182482,132,t70d_RG
FOXP1,0.071717545,0.058196254,1.6986861,0.6575182481751825,133,t70d_RG
PRDX1,0.07169998,0.057285998,2.0070074,0.8067153284671533,134,t70d_RG
TMA7,0.071411856,0.05636183,3.0513868,0.9170802919708029,135,t70d_RG
PTTG1,0.071309514,0.059373192,2.2064233,0.4464233576642336,136,t70d_RG
MEG3,0.071220584,0.06017454,1.3845255,0.5798540145985401,137,t70d_RG
GPM6A,0.07092515,0.055129476,2.4458394,0.7816058394160584,138,t70d_RG
SQLE,0.0694803,0.061909355,1.6686132,0.712992700729927,139,t70d_RG
ZIC1,0.069375314,0.06256851,0.8090511,0.29985401459854016,140,t70d_RG
CRB2,0.06836484,0.060955312,0.7859854,0.4508029197080292,141,t70d_RG
ADGRV1,0.06793745,0.05416619,2.5223358,0.7261313868613138,142,t70d_RG
RBMX,0.06780912,0.052351788,2.8820438,0.875036496350365,143,t70d_RG
CENPF,0.06696158,0.057479717,2.0221899,0.367007299270073,144,t70d_RG
CKS2,0.06688252,0.050008293,2.9360583,0.6011678832116788,145,t70d_RG
TNRC6B,0.066814594,0.059637874,1.5728468,0.6805839416058395,146,t70d_RG
SNRPD2-1,0.065744646,0.05076411,2.419562,0.8645255474452554,147,t70d_RG
ROBO2,0.06573668,0.056291625,1.3176643,0.5121167883211679,148,t70d_RG
NCAM1,0.06528826,0.053176053,2.0373724,0.6951824817518248,149,t70d_RG
MIR924HG,0.06522804,0.052811842,1.780438,0.5068613138686131,150,t70d_RG
MAGI1,0.064993255,0.051657904,2.3121169,0.7693430656934307,151,t70d_RG
BTG1,0.06446457,0.05357038,1.6835036,0.7100729927007299,152,t70d_RG
ID4,0.064286076,0.049122363,2.0478833,0.5985401459854015,153,t70d_RG
IER2,0.064151056,0.054270964,1.8367883,0.5436496350364963,154,t70d_RG
LSAMP,0.06392297,0.05096678,2.3170803,0.672992700729927,155,t70d_RG
SHROOM3,0.06355946,0.04947658,2.4607298,0.7141605839416059,156,t70d_RG
HSPB1,0.06341798,0.0513337,1.6347445,0.6706569343065694,157,t70d_RG
METAP2,0.06294557,0.052079506,2.0078833,0.6908029197080292,158,t70d_RG
HES6,0.06255556,0.055472814,1.0230657,0.4143065693430657,159,t70d_RG
POLR2L,0.061395396,0.049791496,1.7459854,0.7734306569343066,160,t70d_RG
RPS27L,0.06058208,0.04720031,2.260146,0.8046715328467153,161,t70d_RG
SFRP1,0.059258927,0.04695768,1.7442336,0.5127007299270073,162,t70d_RG
MSMO1,0.059202336,0.051692437,1.5716789,0.6490510948905109,163,t70d_RG
UHRF1,0.059015542,0.05220686,0.7232117,0.4300729927007299,164,t70d_RG
FOXP2,0.05889922,0.051813297,0.98072994,0.4230656934306569,165,t70d_RG
CCNA2,0.058766823,0.049320653,1.3433577,0.498978102189781,166,t70d_RG
CDH12,0.058182288,0.048726607,1.6516788,0.48525547445255474,167,t70d_RG
TOP2A,0.058024235,0.047642913,3.01781,0.39883211678832114,168,t70d_RG
KAZN,0.057950538,0.046308488,1.8817518,0.6624817518248175,169,t70d_RG
IL1RAPL1,0.056814656,0.047693945,1.8943065,0.5702189781021898,170,t70d_RG
NCKAP5,0.056763552,0.03897026,2.3124087,0.6537226277372262,171,t70d_RG
C4orf48,0.056657035,0.04631267,1.5357665,0.7097810218978102,172,t70d_RG
BIRC5,0.056632794,0.0440183,1.2119708,0.3678832116788321,173,t70d_RG
EIF1B,0.056248676,0.04456622,1.5731387,0.7132846715328467,174,t70d_RG
CXCR4,0.056048196,0.046128582,1.0616058,0.46248175182481754,175,t70d_RG
SCHIP1,0.056005478,0.042757284,1.1938686,0.6327007299270073,176,t70d_RG
PAM,0.055739183,0.0474664,1.389781,0.5848175182481752,177,t70d_RG
TYMS,0.055673704,0.04812944,0.9159124,0.44613138686131387,178,t70d_RG
TENM2,0.05557136,0.047156423,2.199124,0.3521167883211679,179,t70d_RG
PARD3B,0.055442143,0.04268857,1.6648176,0.6248175182481752,180,t70d_RG
BCL11A,0.055286914,0.04851835,1.1173723,0.5585401459854015,181,t70d_RG
ROBO1,0.05516395,0.041283365,2.2443795,0.5851094890510949,182,t70d_RG
FGFBP3,0.054171927,0.045546934,0.8890511,0.41605839416058393,183,t70d_RG
RPL22,0.05390138,0.04359442,1.1912409,0.6181021897810219,184,t70d_RG
RERE,0.053810343,0.040503535,1.979854,0.7597080291970802,185,t70d_RG
UBE2C,0.053680845,0.044520542,2.8621898,0.3702189781021898,186,t70d_RG
FOXG1,0.05354541,0.04647997,0.7471533,0.38715328467153287,187,t70d_RG
LRRC4C,0.0533271,0.04209119,1.8233577,0.42656934306569344,188,t70d_RG
NEDD4L,0.053002574,0.04404607,1.6251094,0.5903649635036496,189,t70d_RG
ZEB1,0.052923173,0.042111967,1.7521168,0.6925547445255474,190,t70d_RG
MORF4L2,0.052891348,0.04403784,1.9164964,0.7562043795620438,191,t70d_RG
DDIT4,0.052826896,0.044355318,1.3068613,0.5156204379562044,192,t70d_RG
UBC,0.052789517,0.039078303,2.0721169,0.7451094890510949,193,t70d_RG
IGFBPL1,0.052767303,0.047101498,0.85051095,0.28817518248175183,194,t70d_RG
MEST,0.052710317,0.043929845,1.3328468,0.5156204379562044,195,t70d_RG
RORA-2,0.052648574,0.039597455,1.7813139,0.6248175182481752,196,t70d_RG
DPP10,0.052603044,0.04432903,1.4251095,0.4721167883211679,197,t70d_RG
MPP2,0.052471254,0.045926187,1.2738686,0.44175182481751823,198,t70d_RG
NRG3,0.052290644,0.043007147,1.6849635,0.5640875912408759,199,t70d_RG
LIX1,0.052189764,0.04255413,0.97635037,0.5054014598540146,200,t70d_RG
DDAH2,0.051758267,0.0409194,1.8537226,0.7351824817518248,201,t70d_RG
SLC1A3,0.051732503,0.040859535,1.5769343,0.56,202,t70d_RG
CLYBL,0.051048443,0.044546556,0.6972263,0.2756204379562044,203,t70d_RG
SLC35F1,0.0510007,0.039916247,1.809927,0.6455474452554745,204,t70d_RG
GRID2,0.050929464,0.03607871,2.1929927,0.4583941605839416,205,t70d_RG
CD24,0.05077175,0.03976803,1.3322628,0.6014598540145986,206,t70d_RG
NREP,0.050675467,0.04113329,1.2659854,0.635036496350365,207,t70d_RG
TUBB4B,0.05052076,0.04060069,1.9783942,0.5083211678832117,208,t70d_RG
TMEM161B-DT,0.049867656,0.035997655,2.4207299,0.7681751824817519,209,t70d_RG
TFDP2,0.04960673,0.041510846,1.530219,0.6481751824817519,210,t70d_RG
PBX1,0.049374286,0.042409025,1.330511,0.6300729927007299,211,t70d_RG
STMN4,0.048913147,0.04226052,1.0823357,0.5115328467153285,212,t70d_RG
SOX6,0.048868027,0.03837887,1.2648175,0.5121167883211679,213,t70d_RG
TCF12,0.048730433,0.037756037,1.7462773,0.7281751824817518,214,t70d_RG
MSI2,0.048618283,0.036483586,1.7775183,0.6913868613138686,215,t70d_RG
KIAA1217,0.048533157,0.034365155,1.3220438,0.5027737226277372,216,t70d_RG
VCAN,0.048458192,0.036226053,1.6280292,0.6367883211678832,217,t70d_RG
UCHL1,0.04844418,0.040060848,1.029781,0.5789781021897811,218,t70d_RG
HSPA1A,0.048290648,0.040247247,1.5404379,0.39328467153284674,219,t70d_RG
TMEM123,0.04788238,0.03792205,1.1483212,0.6306569343065693,220,t70d_RG
SOX9,0.04787603,0.03728534,1.0712409,0.522043795620438,221,t70d_RG
SUB1,0.047445558,0.03695763,2.2023358,0.8493430656934307,222,t70d_RG
RFX4,0.047443755,0.03836115,1.1710949,0.5640875912408759,223,t70d_RG
KPNA2,0.047388986,0.038231473,2.3713868,0.44,224,t70d_RG
H2AZ2,0.04737073,0.03289152,1.7807299,0.7132846715328467,225,t70d_RG
TLE4,0.04703468,0.037720222,1.1054015,0.5398540145985401,226,t70d_RG
EXT1,0.046737347,0.038081415,1.9185401,0.694014598540146,227,t70d_RG
HEY1,0.046607453,0.038350828,0.95270073,0.4064233576642336,228,t70d_RG
PTPRM,0.04659116,0.035207924,1.2767884,0.46160583941605837,229,t70d_RG
XRCC5,0.04646148,0.036470342,1.740438,0.7445255474452555,230,t70d_RG
PSD3,0.046258945,0.036049,1.4140146,0.6248175182481752,231,t70d_RG
FBXL7,0.046142217,0.028086102,2.4516788,0.7386861313868613,232,t70d_RG
TENM4,0.04571083,0.036066655,1.4788321,0.5605839416058395,233,t70d_RG
ZFHX4,0.04560726,0.038465362,0.8449635,0.46248175182481754,234,t70d_RG
TENM3,0.045563307,0.038068753,1.2592701,0.4040875912408759,235,t70d_RG
DNAJB6,0.04501411,0.034525912,1.3830657,0.6732846715328468,236,t70d_RG
CELF2,0.044982288,0.032790154,1.3842336,0.6309489051094891,237,t70d_RG
GNG5,0.04473645,0.03415309,1.1471533,0.6213138686131386,238,t70d_RG
PEG10,0.044691235,0.036922667,1.0928468,0.5494890510948905,239,t70d_RG
POMP,0.044526216,0.033586115,1.5007299,0.7325547445255475,240,t70d_RG
H1-10,0.04445562,0.038998023,0.9442336,0.421021897810219,241,t70d_RG
BRINP3,0.044383883,0.03699412,0.8776642,0.32934306569343064,242,t70d_RG
LHX2,0.04435793,0.036655225,0.8140146,0.39153284671532845,243,t70d_RG
SDK1,0.044355586,0.034828342,1.5477372,0.569051094890511,244,t70d_RG
H1-0,0.044292476,0.034500945,1.4639416,0.6166423357664234,245,t70d_RG
ANKS1B,0.04426346,0.03472579,1.160584,0.4484671532846715,246,t70d_RG
SMC4,0.04407543,0.029559132,1.7964964,0.5296350364963504,247,t70d_RG
FGFR3,0.043998618,0.03963881,0.40145984,0.25401459854014596,248,t70d_RG
LIMCH1,0.04384423,0.036334872,0.90656936,0.44934306569343063,249,t70d_RG
TTC3,0.043802597,0.033472624,1.710073,0.677956204379562,250,t70d_RG
MAD2L1,0.04376512,0.032506652,1.3170803,0.4753284671532847,251,t70d_RG
CDK1,0.043685928,0.03670826,1.7532847,0.39182481751824816,252,t70d_RG
CADM1,0.043436855,0.036548566,1.3754745,0.5959124087591241,253,t70d_RG
LINC01414,0.043429106,0.037392955,0.87970805,0.2572262773722628,254,t70d_RG
DAB1,0.043352246,0.03299695,0.98189783,0.48525547445255474,255,t70d_RG
UBE2T,0.04317038,0.035041332,1.0525547,0.42744525547445256,256,t70d_RG
PDE1A,0.04296001,0.035232015,0.7868613,0.3208759124087591,257,t70d_RG
PCDH9,0.042801656,0.03648841,1.0134307,0.40204379562043796,258,t70d_RG
PTPRK,0.042755894,0.0321746,0.99153286,0.512992700729927,259,t70d_RG
SOX3,0.042683177,0.033978377,0.80379564,0.41781021897810217,260,t70d_RG
HDAC9,0.042598102,0.03227971,1.8802919,0.6008759124087591,261,t70d_RG
FUT9,0.042304233,0.03408136,1.1521168,0.5255474452554745,262,t70d_RG
HSPA1B,0.042272396,0.035914525,1.0420438,0.35124087591240877,263,t70d_RG
NDUFA11,0.042153444,0.032300796,1.1722628,0.6642335766423357,264,t70d_RG
PLCB1,0.04187351,0.0304358,1.7675912,0.6011678832116788,265,t70d_RG
PLEKHA5,0.04177286,0.030853983,1.6732846,0.602043795620438,266,t70d_RG
NAV3,0.04169096,0.0360839,0.81547445,0.3167883211678832,267,t70d_RG
CENPK,0.041625272,0.034409735,0.82131386,0.43386861313868613,268,t70d_RG
FSTL5,0.041379888,0.03161034,0.97751826,0.43532846715328466,269,t70d_RG
LDB2,0.04130513,0.035645563,0.61080295,0.3121167883211679,270,t70d_RG
HMGB3,0.041212924,0.033127274,1.6919708,0.654014598540146,271,t70d_RG
SFRP2,0.041162565,0.03437524,0.740438,0.39211678832116786,272,t70d_RG
CLASP2,0.041115474,0.031831007,1.6277373,0.6794160583941606,273,t70d_RG
NELL2,0.041052654,0.033103704,1.0823357,0.4224817518248175,274,t70d_RG
ZNF536,0.04095066,0.0309252,1.0137227,0.5121167883211679,275,t70d_RG
RRM2,0.04070761,0.033958144,0.7272993,0.3182481751824818,276,t70d_RG
FAT3,0.04069965,0.026923126,1.2035036,0.5664233576642336,277,t70d_RG
C11orf58,0.04056058,0.02634291,1.9740146,0.8067153284671533,278,t70d_RG
CCN2,0.040249553,0.034727845,1.3089051,0.3013138686131387,279,t70d_RG
CNTNAP2,0.040191215,0.033045962,0.8545985,0.43416058394160584,280,t70d_RG
RFC3,0.04006058,0.031352136,0.9541606,0.4718248175182482,281,t70d_RG
PDZRN4,0.039874386,0.03250694,1.9856935,0.2362043795620438,282,t70d_RG
MID1,0.039830346,0.029083932,1.3991241,0.5795620437956205,283,t70d_RG
THSD4,0.039795868,0.032064084,0.85518247,0.36934306569343067,284,t70d_RG
DIAPH3,0.03910584,0.031110285,1.0721167,0.3854014598540146,285,t70d_RG
MAGI2,0.03893363,0.028508883,1.3562044,0.5748905109489051,286,t70d_RG
NTRK3,0.038933434,0.032022692,0.9567883,0.47094890510948906,287,t70d_RG
CADM2,0.038800288,0.03302181,1.1938686,0.40875912408759124,288,t70d_RG
PALLD,0.03859296,0.028857846,1.4659854,0.6251094890510949,289,t70d_RG
XYLT1,0.038439043,0.03161399,0.9868613,0.475036496350365,290,t70d_RG
NAV2,0.03834532,0.031056246,0.78248173,0.3559124087591241,291,t70d_RG
GPHN,0.038317572,0.030201122,1.2560583,0.5745985401459854,292,t70d_RG
SYT1,0.038229443,0.02985432,1.0887591,0.48145985401459857,293,t70d_RG
LSM5,0.037846617,0.02314555,1.6429197,0.7048175182481752,294,t70d_RG
BNIP3,0.037775435,0.032936733,0.7883212,0.39094890510948904,295,t70d_RG
CA12,0.037494138,0.029017,0.53868616,0.3284671532846715,296,t70d_RG
FAM107A,0.03736333,0.030892044,0.5343066,0.28058394160583944,297,t70d_RG
KCNQ3,0.03733492,0.029839024,1.150073,0.465985401459854,298,t70d_RG
GRIA1,0.03707783,0.03263132,0.5786861,0.3448175182481752,299,t70d_RG
MAPK10,0.0369521,0.030801678,0.9836496,0.4762043795620438,300,t70d_RG
SPARC,0.03688695,0.027943471,0.81781024,0.42773722627737226,301,t70d_RG
CACYBP,0.036730275,0.03003022,0.9813139,0.5582481751824817,302,t70d_RG
DDAH1,0.036569748,0.02813849,1.0207299,0.5103649635036497,303,t70d_RG
ANK2,0.036464695,0.029080007,0.9544526,0.4563503649635037,304,t70d_RG
CCND1,0.036388442,0.027968995,0.61138684,0.3705109489051095,305,t70d_RG
DLEU2,0.036372926,0.028983684,1.2744526,0.5343065693430656,306,t70d_RG
SAMD4A,0.035977695,0.030566039,0.8522628,0.3956204379562044,307,t70d_RG
PTPRG,0.035886414,0.029714696,1.1284672,0.4995620437956204,308,t70d_RG
LEF1,0.03571921,0.026164215,0.66072994,0.34715328467153284,309,t70d_RG
PDE4B,0.0353371,0.026648032,1.4797081,0.5772262773722627,310,t70d_RG
CTNND2,0.035217687,0.027412152,1.179854,0.5188321167883212,311,t70d_RG
PTPRD,0.034861963,0.027842348,0.869781,0.4303649635036496,312,t70d_RG
NOVA1,0.034551803,0.025236357,1.2508029,0.6364963503649635,313,t70d_RG
CDH4,0.03450295,0.027620263,0.75036496,0.39474452554744527,314,t70d_RG
MAML3,0.03442101,0.02818959,1.0925547,0.4724087591240876,315,t70d_RG
MASP1,0.034313362,0.026853807,0.6,0.3372262773722628,316,t70d_RG
EGFEM1P,0.034274105,0.02672896,0.79445255,0.37576642335766425,317,t70d_RG
CACHD1,0.034235455,0.025847407,1.0236497,0.48175182481751827,318,t70d_RG
NRG1-1,0.034109868,0.028341964,1.3745985,0.34277372262773725,319,t70d_RG
H2AX,0.03408937,0.024505187,1.0604379,0.4321167883211679,320,t70d_RG
CDK6,0.034075577,0.025933793,0.87153286,0.4738686131386861,321,t70d_RG
TPBG,0.03397788,0.028476108,0.590365,0.2254014598540146,322,t70d_RG
TCF7L1,0.033950277,0.0268537,0.83532846,0.43737226277372265,323,t70d_RG
NFIX,0.033894848,0.02958483,0.390073,0.23795620437956205,324,t70d_RG
EFNA5,0.033761363,0.02918309,0.7477372,0.2513868613138686,325,t70d_RG
MLLT11,0.03347563,0.026745453,0.8543066,0.5173722627737226,326,t70d_RG
SORBS2,0.033081755,0.027808104,0.81459856,0.4575182481751825,327,t70d_RG
CKS1B,0.033025004,0.024556816,0.8893431,0.42656934306569344,328,t70d_RG
PBK,0.03295067,0.025146166,0.99824816,0.34131386861313867,329,t70d_RG
RMST,0.032786906,0.028477164,0.84262776,0.19503649635036496,330,t70d_RG
LHFPL6,0.032783255,0.023829857,0.9906569,0.3386861313868613,331,t70d_RG
ZIC2,0.03257857,0.028631166,0.34072992,0.21635036496350366,332,t70d_RG
CCNB1,0.03239262,0.026700126,0.99708027,0.23007299270072992,333,t70d_RG
ADAMTS6,0.03233198,0.023625381,0.9129927,0.4753284671532847,334,t70d_RG
WLS,0.03216001,0.026314456,0.7322628,0.28846715328467154,335,t70d_RG
HSPH1,0.031995952,0.026809867,0.730219,0.3821897810218978,336,t70d_RG
