gene,ko_l2_mean_70d,ko_l2_mean_115d
LINC02609,0.010248158,0.0019671444
LYPD1,0.010240445,0.014627423
LMO1,0.010224037,0.0047163614
H1-3,0.010195693,0.007259225
DNAI1,0.010136164,0.013906856
OLFM3,0.010122965,0.0039517507
CD9,0.009957447,0.0235537
PTPRU-1,0.009916464,0.005729247
UST,0.009893569,0.021918738
NTN1,0.009890974,0.013359609
ERC2,0.009867672,0.021579081
PIF1,0.009811633,0.0044116057
SCG5,0.009752334,0.009872046
RASSF8,0.009723806,0.009184565
ESRRG,0.009648171,0.03721349
GALNT13,0.009633071,0.00916114
TNIK,0.00961463,0.029187908
APLP1,0.009608876,0.008235871
BMT2,0.009605288,0.013822093
TOPBP1,0.009581535,0.01007974
AGBL1,0.0095759705,0.019655872
SNCA,0.0095478,0.011982194
MGMT,0.009536287,0.011221681
ATXN1,0.009515691,0.046933267
NEIL3,0.009484192,0.004604943
GSTM5,0.00947444,0.0050165383
UNK,0.009459785,0.012313928
DCX,0.009419143,0.023936491
RSPO1,0.009362386,0.00072995655
MAST4,0.0093574505,0.071498744
IBTK,0.009338824,0.012044669
CYP26A1,0.009333293,0.0037730932
LRP1B,0.009248149,0.049394265
RBMS3,0.009220383,0.023701988
EEPD1,0.0092165945,0.059656188
ELMO1,0.009160264,0.02999396
UNC5C,0.009140416,0.0242783
ADCY2,0.009100129,0.046392914
AFF2,0.009098354,0.028004227
PLPPR1,0.009087215,0.025966413
PITPNA-AS1,0.009064228,0.0030330846
DGKB,0.009042298,0.032684512
SLAIN1,0.00901157,0.020414455
SMIM20,0.009006541,0.0040559713
CDH10,0.009000173,0.024196269
SNAP25-AS1,0.008949718,0.0051902635
PRTG,0.008932399,0.013334338
HJURP,0.008929363,0.00254552
PCDH9-AS2,0.008915915,0.014499659
CDCA2,0.008911837,0.004429819
MARCHF3,0.008899729,0.014536478
LRFN5,0.008882556,0.022445884
CD81,0.008744338,0.05025614
UBA6-DT,0.008703879,0.013706586
SH3RF3,0.008695442,0.028818859
KCNB2,0.008682775,0.01326204
SNTG1,0.008678678,0.065238774
NALF1,0.008655222,0.038983457
GALNTL6-1,0.008650697,0.018086638
IRX2,0.008641946,0.014762269
CHD8,0.008625057,0.008578358
WNT7B,0.008505514,0.005855756
DACH2,0.008497776,0.016479561
CCM2,0.008495415,0.011393654
PDGFC,0.008473327,0.026907444
GRM5,0.008450307,0.028702253
SCARA3,0.008395638,0.011477112
PDZRN3,0.0083955815,0.015088326
SEMA6D,0.00838479,0.035890877
GABRG3,0.008375415,0.02574976
EPB41L4A,0.008373361,0.035559576
SPARCL1,0.008364206,0.029477626
GPC3,0.008362932,0.0018067112
TMOD3,0.0083461525,0.007258658
ADARB2,0.008345286,0.0120153045
THTPA,0.008325389,0.0024656446
DELEC1,0.008308426,0.03598446
H2BC5,0.008297996,0.010977394
EDIL3,0.008230799,0.006242431
RMDN3,0.008228124,0.0060084844
RORB,0.008203912,0.016950896
MDGA2,0.00819909,0.040554978
HBA1,0.008094309,0.013356198
STK24-1,0.008072817,0.02175151
PIP5K1B,0.008069908,0.018420978
NFIC,0.008065943,0.019782461
GRM3,0.008064718,0.038130816
PLS3,0.008060984,0.0044297483
LMCD1-AS1,0.008057014,0.026161807
PAK6-1,0.008010855,0.0037115354
MED15,0.007976542,0.008707689
CRADD,0.007976511,0.01162693
GRIN2A,0.007892378,0.03193019
LAMA4-1,0.007856169,0.009307112
CTDSP1,0.007854747,0.006956165
PPP2R2D,0.007845898,0.0104256505
RIMS2,0.007845296,0.018155191
BUB1B,0.0078164125,0.0076018013
LRRC7,0.007815795,0.032096144
OLIG3,0.007769513,0.0019916093
LRP2,0.007762715,0.009041784
GJD3-1,0.00775823,0.0035517544
CDHR3,0.0077476106,0.020171285
SPON1,0.0077372217,0.038979247
IFITM2,0.007736838,0.0004580124
RIT2,0.0077282526,0.016126296
MIR1915HG,0.0077094687,0.0029755428
GTF2H3,0.00770912,0.0066015515
GRIP2,0.0076870304,0.0071908394
CORO1B,0.0076845153,0.0034519262
NEUROD6,0.007636967,0.01021542
DCDC1,0.0076205526,0.020037072
LINC01876,0.0076167043,0.0069807195
PACRG,0.0076141334,0.02193244
TRIOBP,0.0076132705,0.011600328
CMAHP,0.0076073715,0.0084998775
PRKCB,0.0075675556,0.0044381684
GRM8,0.007535242,0.013001269
PCDH7,0.0075193676,0.03394527
DPY19L1,0.007518248,0.018687317
SYT4,0.007513896,0.006904073
IRF1,0.007451492,0.0015681242
ZFHX4-AS1,0.007443771,0.009201094
HS3ST4,0.0074314056,0.015943
LUM,0.0073949234,0.0038500836
SLC17A3,0.007393393,8.2983155e-05
ASB8,0.0073854844,0.0037450108
FGF12,0.0073344945,0.022712668
FPGT,0.0073249293,0.009394292
DHRS3,0.007309381,0.013364246
FLOT2,0.0073047867,0.010974016
CSMD1,0.007304659,0.0805499
SH3GL2,0.0072985017,0.017433763
TSHZ3,0.0072717387,0.005282358
PLD5,0.0072489316,0.02261919
LRP5,0.00717174,0.004487773
MYO16,0.007100764,0.03725489
SEMA3C,0.007091659,0.009282529
FLRT2,0.0070902677,0.019954646
PIERCE1,0.0070597245,0.007859599
TFRC,0.0070594386,0.007791857
FGF14,0.0070570842,0.028749537
KCNIP4,0.0070570316,0.017037686
PLEKHF2,0.00705086,0.0021887205
ATP1B2,0.0070456313,0.02542721
KIF2A-1,0.0070435526,0.016529683
SHTN1,0.006993153,0.020241072
SMN2,0.0069642067,0.0014320982
L3MBTL4,0.006950079,0.030237403
RIOK2,0.0069455006,0.0030634108
TOX2,0.0068918816,0.004503337
MYO1D,0.006877076,0.0070099374
KIRREL3,0.00686214,0.042759124
UNC13C,0.0068557262,0.01877636
CACNA1A,0.0068531455,0.011028908
AMBN,0.0068157525,0.0001501649
SLC9A9,0.006814571,0.02509926
MT1X,0.006773157,0.0027114477
SORCS3,0.006772353,0.02697824
AGA,0.006750011,0.0035471448
SLC4A4,0.0067485594,0.041751727
EFL1,0.0067418455,0.007842065
LRRTM4,0.0067194444,0.054394655
MAB21L1,0.006657345,0.0020322888
NAPRT,0.00665167,0.002874444
KCNIP1,0.006615946,0.015777443
ARAF,0.0065961774,0.0018161881
CSNK2A2,0.0065870928,0.012935023
IMPA2,0.0065688496,0.003997951
GFAP,0.0065676523,0.02533738
CSMD3,0.0065667545,0.043949947
NMU,0.0065615987,0.00365104
H2AC20,0.006514113,0.0014548607
GRM7,0.006510887,0.03555984
PCDH17,0.006493674,0.010382161
GRIA3,0.006488638,0.017340003
SGCD,0.006470586,0.0333352
H2AC6,0.006449126,0.0154000595
MIAT,0.006399418,0.011584403
WWTR1-1,0.0063877227,0.009351275
EP400,0.0063873185,0.011488635
STRA6,0.006330817,0.00092227734
GLRA2,0.006328389,0.010186622
GSTM4,0.006316284,0.0021047278
CNTN4,0.0062776147,0.02176587
ALYREF,0.006268119,0.009340057
ZMAT4,0.0062346086,0.0048130252
ALCAM,0.006230109,0.029277768
FNDC4,0.0062017427,0.0056329765
CSGALNACT1,0.0061906567,0.0252912
ENOX1,0.0061762594,0.020318482
TEKT1,0.006164726,0.012863114
FAM111A,0.006163339,0.012563529
RIMS1,0.0061394563,0.017755954
PDZD2,0.006133886,0.017403811
EYA4,0.0061259237,0.005045917
PLXNA2,0.0060885465,0.019950569
LRRC9,0.0060871225,0.015777608
RGMB,0.0060848887,0.004201682
TEX15,0.0060829096,0.0031355282
IGFBP5,0.006060419,0.01339725
CYP26B1,0.006051468,0.022061076
OSBPL3,0.006047183,0.0094962
TFPI,0.0060381144,0.034179084
DPP8,0.0060299183,0.010461479
MOGAT1-1,0.006009664,0.0016605025
CCDC8,0.005943586,0.0023178754
SLC2A3,0.005919885,0.008502497
DOCK4,0.005883556,0.024683611
TAFA2,0.0058400854,0.011632393
MCTP1,0.0057946946,0.01756429
LINC01322,0.0057363063,0.014624489
SGO1-AS1,0.0057277735,0.0075570075
GRIA4,0.005717567,0.04622215
VAV3,0.0057036285,0.004213909
CDH11,0.0056841094,0.015512753
ACKR3,0.005683651,0.0053315545
C1QTNF7-AS1,0.005680909,0.0026124786
EXD2,0.0056639244,0.005768316
SPOCK1,0.0056425943,0.009917335
SP8,0.005639589,0.0021650111
SGIP1,0.0056336373,0.019930236
SMOC1,0.005584819,0.044625174
H2AC17,0.0055734343,0.0014945146
PHLDB1,0.005571048,0.007317668
CADPS2,0.005561511,0.008226248
GPR39,0.0055548027,0.023264874
ZNF236,0.005551232,0.010972425
LINC01956,0.005547326,0.0043638283
SHOX2,0.005545974,5.4476465e-07
RASGEF1B,0.005541859,0.014016907
ADRA2A,0.0055113216,0.005675736
SMIM6,0.00550972,0.007938405
DLEU7,0.0055049243,0.0064914455
RAB3B,0.0055031255,0.0035298152
SHISA6,0.0054706167,0.020486807
DMRT3,0.0054676756,0.0007407899
KIF26B,0.0054658395,0.044667687
CRTC1,0.0054377066,0.009364911
DDX28,0.005422128,0.0013272675
DNM2,0.005410333,0.0083082365
GABRB3,0.0054020425,0.012389335
IL17RD,0.005401123,0.0091580665
SCN1A,0.0053746845,0.018888718
TRMT9B,0.0053684264,0.012493742
NBN,0.005363729,0.006160758
PCLO,0.005351273,0.016015138
CBX8,0.005339394,0.0020586534
SEPSECS,0.0053256853,0.0031496345
NXT2,0.00530233,0.0022447596
DDX11,0.005285957,0.041940663
TMEFF2,0.005276144,0.0082587935
DLK1,0.005272768,5.4476465e-07
NHERF1,0.005265554,0.006018255
NEBL,0.0052635325,0.013548647
VPS33A,0.0052244244,0.003338703
GPR63,0.0051982393,0.0032430307
EDRF1,0.0051967637,0.007131793
POLQ-1,0.0051770722,0.010395407
MMADHC-DT,0.005152999,0.0035840687
AGTRAP,0.005152257,0.004043674
TNFRSF1A,0.0051358636,0.005335403
KCNMA1,0.005132113,0.048468743
TAFA4,0.005118156,0.0017153983
WNT4,0.005111041,0.0007677493
ECEL1,0.0051107043,0.0009748288
CFAP126,0.0051043597,0.009696656
KCNJ6,0.0050919633,0.013316945
BNC2,0.005086451,0.0039186394
KLHL4,0.0050633685,0.005958951
DPYD,0.0050551267,0.009142456
ENOX2,0.0050408524,0.0048191445
GABRG3-AS1,0.005032667,0.008666318
PCBP3,0.0050040493,0.007140305
FEZF1,0.0049970006,0.00061559083
STS,0.0049860277,0.0077656577
SLC24A3,0.004969359,0.023064557
CACNA1C,0.0049683084,0.022480736
SULF2,0.004964496,0.007562643
NELL1,0.0049473983,0.031970426
GAS7,0.004911707,0.015988488
EDA,0.0048925513,0.0156376
CHSY3,0.004883165,0.020099612
GRID1,0.0048764804,0.01693926
RGS6,0.004856573,0.026804274
SATB2,0.0048514158,0.039871037
TRMT44,0.0048494968,0.0039421218
CPNE8,0.004825631,0.0053938283
SH3KBP1,0.004814676,0.0114069795
PDGFRB,0.0048130713,0.019572308
RAB3C,0.0048090024,0.00465994
ACSBG1,0.0048073404,0.015331269
NPHS1,0.0047871466,0.0024512038
ZSCAN31,0.0047855885,0.002078113
C11orf87,0.0047622886,0.0026765263
TRAPPC10,0.0047532273,0.0072763367
MAN2B1,0.0047484273,0.004101551
CRYAB,0.00471211,0.03080826
SRRM4,0.0046904995,0.008336707
QPRT,0.004687161,0.005358634
HHIP,0.0046868627,0.008757772
ENPP2,0.0046840776,0.005956067
KHDRBS3,0.00467001,0.009832983
ZDHHC7,0.004668095,0.0047928193
FRAS1,0.004660952,0.012787701
KLHL29,0.0046600704,0.011075345
FOXO1,0.004655159,0.006312678
PMP2,0.004645312,0.013435731
LRP10,0.004638998,0.0073221377
SERPINB9,0.00463838,0.000100625584
INPP4B,0.0046289554,0.024274843
VIT,0.0046252348,0.0006412501
CDH18,0.004619006,0.019857269
CALN1,0.0046124756,0.0077024694
ABLIM1,0.0045906985,0.013245303
SCN3A,0.004589198,0.019201769
COL24A1,0.0045882245,0.002014103
DNM3,0.0045825657,0.025195621
FIBIN,0.0045722984,0.010782058
PDZD4,0.004542813,0.009281838
ARHGAP24,0.0045208363,0.005797861
ZNF385B,0.0045110243,0.008757594
MIR646HG,0.0045079347,0.005869452
IRX3,0.004501413,0.005794257
KCND2,0.0044807764,0.026350968
GABRB2,0.0044801,0.013221272
PTPRT,0.00447602,0.051017556
ETV3,0.0044698864,0.00084885815
LINGO2,0.0044521294,0.026359415
NTN4,0.0044317823,0.008485212
SIX5,0.0044175987,0.0026289695
TRPC4,0.004414062,0.0040251613
SNAP91,0.004396715,0.016860452
PKN3,0.004366529,0.0051200064
PYGB,0.004362911,0.00521239
TAL2,0.004362755,0.00072480284
DEAF1,0.0043622837,0.009338583
FBXL18,0.004351356,0.0058509675
SIX3,0.0043484545,0.0021597263
NPTX2,0.004339034,0.0032164527
CNTN5,0.0043359883,0.01562365
ST18,0.004332065,0.0038951514
CERK,0.0043308614,0.0066559287
PPP1R14C,0.0043302444,0.01412308
LPAR1,0.0043165335,0.007853135
HDAC2-AS2,0.0043110913,0.007941777
ENTREP2,0.0042975442,0.00736768
ATOH8,0.004288413,0.002065224
FRZB,0.004283334,0.012451712
LSP1P4,0.0042805905,0.0014655687
ZNF544,0.00427316,0.019336957
GUCY1A1,0.0042662704,0.0023580245
TNFAIP8L1,0.004256895,0.002871821
PAX7,0.004256197,0.0020769548
PLOD3,0.0042504733,0.006268759
GPC5,0.0042408155,0.0337475
EXOC3,0.004237241,0.0056418166
SLIT3-1,0.0041874056,0.010636419
H1-1,0.004177298,0.0008929151
ASAH2B,0.0041671665,0.0015481582
TLE2,0.004150057,0.0078022135
ROBO3,0.0041382667,0.008536508
ARMC3,0.0041008326,0.019941056
PRRG1,0.0040985136,0.00562006
KIRREL2,0.0040940084,0.004225635
CDH13,0.0040934137,0.018505894
DLGAP2,0.0040932195,0.008919111
PCDH9-AS1,0.0040704403,0.005785315
GRIN2B,0.004066959,0.023382163
H2BC6-AS1,0.0040566623,0.003997058
GDF10,0.004054598,0.004705059
CLSTN2,0.0040260376,0.009334536
CIART,0.004024938,0.0011736038
CIBAR1-DT,0.0040222467,0.005864102
AGPAT2,0.0040135756,0.001038587
DSCAM,0.004004293,0.05195314
EFS,0.0039878543,0.0054509523
SP110,0.0039848243,0.007614993
MT1F,0.0039752945,0.0038486808
CCNT2-AS1,0.003974252,0.0051702796
VAMP5,0.003970939,0.004086328
ZNF793,0.003969942,0.0058494564
NR4A2,0.0039676544,0.0037263555
LINC02306,0.0039633564,0.0034547478
RDM1,0.0039517437,0.0018342406
KCNJ10,0.00394704,0.006247136
CEP120,0.003924679,0.006303761
NRP1,0.003904131,0.008842716
RAB40B,0.0038915274,0.0031638076
TENM3-AS1,0.0038849784,0.0015059261
PHF2,0.0038655826,0.00787813
CRYBG3,0.0038651926,0.007816761
LGR4,0.0038634837,0.01552146
SRC,0.0038573202,0.006272129
LINC01090,0.0038436328,0.008803318
NXPH2,0.0038232477,0.004951543
SLC8A1-AS1,0.003811947,0.009049316
KCTD13,0.003806168,0.00701209
GJA1,0.00379871,0.010648857
NEUROG1,0.0037839096,0.000861981
SLC25A21-1,0.003780615,0.0042137504
GCC2-AS1,0.003771684,0.0018836604
TPPP3,0.003769534,0.0059441375
ITPR2,0.0037644235,0.031891882
PILRB,0.0037455556,0.007103877
HELT,0.0037200933,5.4476465e-07
MTTP,0.003719311,0.004875104
RRM2B,0.003700644,0.0028873389
MAB21L2,0.0036934735,5.4476465e-07
SDC4,0.0036892816,0.0018344863
PCSK2,0.0036792003,0.005109128
MTUS2,0.003673842,0.006805442
NR3C2,0.0036571776,0.020939192
DHFR2,0.0036567715,0.0028043368
STARD13,0.003655151,0.020033367
SULF1,0.003639223,0.011949048
MFSD3,0.0036292407,0.001713951
HS3ST3A1,0.0036290123,0.0014572748
RARB,0.0036022721,0.004166353
SSH1,0.0035987592,0.00694048
LUZP2,0.0035977834,0.041530933
LHX5-AS1,0.003594973,0.00095031766
LINC01103,0.0035900667,0.0017390891
ZNF180,0.0035790158,0.0036426482
CRHR2,0.003561556,0.0110321585
SLC27A6,0.0035174289,0.0047984263
S100B,0.0034978993,0.023464657
ADAMTS19,0.0034897507,0.0031459904
CHRM3,0.0034836973,0.0073539135
PCP4,0.0034801979,0.013846225
GRM1,0.003478913,0.005989803
SAMD5,0.0034704695,0.018496359
GHR,0.0034701205,0.011081429
DIPK1C,0.00344601,0.017239543
RBM15,0.0034441103,0.0036079732
LRRTM2,0.003439611,0.003508931
COL1A2,0.0034360045,0.007104347
PROX1,0.003433293,0.011104567
ARHGAP28,0.003431354,0.007315116
IGSF21,0.003426205,0.005461497
HIGD1B,0.003417146,0.00044811115
ATP8A2,0.0034128432,0.007979622
IRX1,0.003412117,0.011867264
TEX21P,0.0034115452,0.001831864
LINC01091,0.0033938456,0.005630972
RXRA,0.0033889548,0.006553304
FKBP15,0.0033745172,0.0043521617
MAL2,0.0033658377,0.0034230435
MSX2,0.0033502048,0.004947789
AUNIP,0.0033473438,0.0010593674
ALPK1,0.0033439673,0.0021659143
PECR,0.0033120916,0.003522404
PANK2-AS1,0.0033082364,0.0017192891
TMEM91,0.0032976603,0.011962201
EGFR,0.0032972812,0.04283027
TPD52L1,0.0032903338,0.002032531
GOLGA2P10,0.0032891107,0.0011307709
PIK3R2,0.003278788,0.005250763
NRN1,0.0032711565,0.0037160881
NEUROD2,0.0032707872,0.010704305
PTCHD4,0.00325761,0.0016587029
NMNAT2,0.0032555135,0.017069133
CDKN1C,0.0032466757,0.0036423372
IL13RA2,0.003237987,0.0020779874
CERS1,0.0032218057,0.008761245
DOCK2,0.0032148333,0.003565968
SP5,0.0032063487,0.0005781446
LINC01505,0.00319707,0.005186209
CLK2,0.0031952115,0.0034442004
ADAMTS18,0.0031816275,0.0032099313
SNCG,0.0031576627,0.0015435284
APELA,0.0031486745,5.4476465e-07
LMX1A,0.003144587,0.006387788
DOC2A,0.0031323503,0.0029858567
WBP1L,0.003118762,0.0073379837
RELN,0.0031149904,0.010411351
PDE1C,0.0030756092,0.030014716
SLC35F3,0.0030678676,0.009696949
ABTB3,0.003065611,0.0045354795
CCDC170,0.0030536952,0.0075802384
SLC25A19,0.0030523373,0.0013888624
MITF,0.0030480796,0.004280724
TST,0.0030349537,0.0033928049
ZSCAN32,0.0030254552,0.0024736885
LGALS3,0.0030037249,0.0017952003
EBF1,0.0029987034,0.014935678
ZNF257,0.002997809,0.0017573306
CNOT11,0.0029912486,0.0036949771
SLCO3A1,0.0029883524,0.0065705343
COL25A1,0.0029837796,0.010178509
STK32B,0.0029792157,0.009740659
HIVEP3,0.0029599334,0.008181011
DLL3,0.00295528,0.004787923
NRP2,0.0029526309,0.0054446557
IL1RAPL2,0.0029455891,0.0052659926
UNC79,0.0029445514,0.0070075314
ANKRD33B,0.002942241,0.000727038
IFT70B,0.0029396252,0.002163732
CASC17,0.0029319,0.0076819556
HAS2,0.0029288873,0.0056321905
HSD17B7P2-1,0.002928788,0.0022327404
MT-TL1,0.0029260125,0.00012960019
CSNK1A1P1,0.0029103756,0.0007385202
CA8,0.0029076212,0.016309068
MKRN2OS,0.0028984072,0.003544929
SNIP1,0.0028922062,0.0028018623
PAX8,0.002889912,0.0007089811
PCAT1,0.0028898169,0.008667064
GALNTL6,0.002887116,0.022052197
LINC01508,0.0028784347,0.00045963592
LINC00276,0.002872071,0.0045396164
PLXNA4,0.0028663338,0.017725289
SDCBP2,0.0028628986,0.0032758217
KCND3,0.0028582867,0.018412419
SYNDIG1,0.0028517987,0.006720946
CPNE4,0.00285175,0.010582983
CNTN6,0.0028506105,0.0069470634
SLIT3,0.0028418927,0.012342872
DYNLL1,0.00282435,0.0044172034
PXN,0.002823311,0.0036271394
LAMA2,0.0028158065,0.01339755
SLC25A21-AS1,0.0028047233,0.0016807788
CALCRL,0.0027956709,0.0037876223
HCG22,0.002792776,0.0027489334
ITPR1,0.0027907074,0.007843236
LINC00354,0.0027881695,0.0009078392
VWC2,0.0027869148,0.0047693895
KCNMB2-AS1,0.002780067,0.008069776
GRIK3,0.0027785217,0.007475666
TCFL5,0.0027749822,0.0028223374
AEN,0.002774428,0.0009238495
SNHG22,0.0027583214,0.004285624
EYA2,0.0027548447,0.006916767
VLDLR-AS1,0.0027491031,0.0075143
FAM135B,0.0027443743,0.013648392
INO80-AS1,0.0027434651,0.0027437212
MFSD13A,0.0027408076,0.0019846861
LRP3,0.0027367673,0.0038419983
HRK,0.0027348818,0.0010240896
TMT1A,0.0027348085,0.0070642694
FBRS,0.0027313493,0.0031554159
KCTD8,0.002728224,0.0070170104
EML6,0.0027229965,0.0071619735
KLHL32,0.0027166798,0.011936733
LCMT1-AS1,0.002715614,0.0015152204
NACC2,0.0027108914,0.008022528
FSIP2,0.002698199,0.008948454
EYS,0.0026915772,0.0017304505
CHN2,0.0026806234,0.0011539442
LINC00698,0.0026790376,5.1179253e-05
CCDC85A,0.0026738464,0.005453836
ZNF629,0.002669525,0.0019165077
RYR2,0.0026611595,0.0060585705
LINC02488,0.0026601027,0.0017305439
HPDL,0.002646665,0.00027335496
CDH6,0.002636327,0.004835946
LINC02256,0.002629395,0.005376811
SHISA9,0.002615769,0.020239567
RNF157-AS1,0.0026135854,0.0012613152
FREM2,0.0025890414,0.010238503
MAPT,0.0025805612,0.016801476
NPAS1,0.0025695725,0.0014983222
HS3ST6,0.0025678843,0.008008228
URB1,0.002557345,0.006816911
SPOCK3,0.0025499288,0.007300133
EMP1,0.0025439286,0.0059986804
RBFOX3,0.0025387118,0.005599609
HTRA1,0.0025238858,0.02314642
CACNA1E,0.0025111362,0.012814755
CACNA2D3,0.0025094624,0.0149154095
ALK,0.0025027685,0.007204293
RMDN2-AS1,0.0025018484,0.006303226
MMD2,0.0024848392,0.026966456
MFSD5,0.0024763895,0.0014840752
PRICKLE2,0.002466666,0.013602007
ENKD1,0.0024660726,0.0037766434
TRABD2B,0.0024583335,0.0044857217
LAMP5,0.0024304423,0.0044780206
LATS2-AS1,0.0024302555,0.0013301175
LINC02301,0.0024258278,0.002786634
PJVK,0.0024138323,0.0018312526
APOL2,0.0024138168,0.0032259591
RYR3,0.0024136403,0.012208829
CACNA1B,0.002407221,0.008659374
SNRPD3,0.0024061794,0.004470608
NPPC,0.0023994786,0.004077395
ZNF28,0.0023974122,0.0025058426
LINC02253,0.0023964609,0.002367609
CCDC140,0.00239137,0.0020045135
ARPP21,0.0023747212,0.028306311
SYCP3,0.0023736742,0.0028003668
KLHL21,0.0023694602,0.005336683
SLC5A9,0.0023580499,0.0014394401
IPO4,0.002354872,0.0011270171
PLPPR2,0.0023500682,0.0039789323
CFC1,0.0023460472,0.0027365577
LINC01418,0.0023416367,0.0033506735
LINC01833,0.0023363295,0.00043439292
OLIG1,0.0023283479,0.0062764334
NMNAT1,0.0023088395,0.0024767648
GUCA1A,0.002303917,0.00012500811
PPP1R42,0.0022998797,0.007780546
SYN2,0.002298962,0.009061099
SYNGR2,0.002293226,0.0009931158
GAD2,0.0022841594,0.0050853263
SELENBP1,0.0022783335,0.0014035165
LINC00865,0.0022695935,0.0018552083
LMNB1-DT,0.0022653288,0.0015707605
SYNPO2,0.0022651006,0.0030400539
KDELR2,0.0022490767,0.0042764316
LINC02388,0.0022404427,0.011645829
KCTD16,0.002232714,0.010576098
NEFL,0.0022293215,0.0051587145
MYT1L,0.0022152907,0.02132998
DLX2,0.0022116927,0.002172567
ZBTB7C,0.002208798,0.009964823
EBF3,0.0022033926,0.0041471394
NHLH1,0.002195827,0.0017992592
THSD7B,0.0021941406,0.0048301225
TRHDE,0.002185702,0.003636365
GABRA2,0.0021679348,0.011225791
CELF4,0.0021675515,0.012544434
CXXC4-AS1,0.002162943,0.002626264
PITX2,0.002157185,5.4476465e-07
EFEMP1,0.002151897,0.0071663125
COL23A1,0.0021485996,0.013926291
C11orf68,0.002142385,0.0037838414
DGKK,0.0021380526,0.0022834602
DNAI3,0.0021359585,0.006975116
LINC02223,0.0021357595,0.0046078674
CXCL17,0.0021357401,0.0015662179
NECAB1,0.002134087,0.003951187
DCN,0.0021305564,0.0042239386
HSPA2,0.0021292341,0.0030433903
KCNMB3,0.0021205181,0.010545207
ELFN1,0.0021113825,0.0024776259
SLC12A7,0.0020994975,0.0039620656
CHRM2,0.0020948916,0.002744284
HAUS3,0.0020945172,0.0024774065
NSG2,0.002093158,0.006812969
SHH,0.0020898392,0.00064675784
GALNT14,0.002088918,0.007904129
NALCN,0.0020816184,0.00715728
CHST8,0.0020810491,0.00078171166
CPEB3,0.0020790289,0.0069839223
VSTM2A,0.0020765753,0.001272007
HEPN1,0.002072493,0.023356892
PALMD,0.0020561717,0.003701636
TFF3,0.0020513644,0.0012510086
CNTNAP5,0.0020497923,0.013231387
ZNF543,0.0020466058,0.0011001478
RDH10-AS1,0.002038904,0.0010277478
SLC35F4,0.0020353957,0.0047633373
ZNF418,0.0020345529,0.004656162
LINC02315,0.0020333647,0.0045841956
INF2,0.0020290385,0.002980108
PTMAP5,0.0020248012,0.00023515218
AQP4-AS1,0.0020246548,0.017771581
GSR,0.0020185031,0.0034942462
SPANXA2-OT1,0.0020157767,0.00638486
TCERG1L,0.0020130558,0.004025723
LINC02487,0.002002934,0.0005132455
RIPOR2,0.0020000038,0.009617878
LINC01725,0.001999298,0.006539576
C21orf62,0.0019978615,0.005227661
ADAMTS3,0.001995257,0.018249644
RFESD,0.001992854,0.0009331148
SCG2,0.0019925795,0.0020120102
RNF217-AS1,0.0019920527,0.005857403
CLDN5,0.0019814693,0.002848444
TAC1,0.001976364,0.0011883628
LINC00648,0.001973206,0.0028956132
SYNPR,0.0019719522,0.0020749853
MAF,0.0019712707,0.0036908688
PRR16,0.0019619104,0.022883937
KCNH5,0.0019584445,0.004376578
CDH19,0.0019507403,0.00027144415
ZFHX2-AS1,0.0019506598,0.0073365243
SLC12A9-AS1,0.001949919,0.0015409901
GATA2,0.0019486533,0.00015461026
MYH11,0.0019423494,0.002211828
ARHGEF28,0.0019404792,0.0059862714
CHST9,0.0019403505,0.027899425
PPP1R1B,0.0019376763,0.0027533
IRAK2,0.0019349334,0.00093969033
CLMP,0.0019328138,0.008206084
MFAP4,0.001931708,0.0032058617
IL27RA,0.0019224655,0.0011031665
NTS,0.0019142455,0.00453116
EPN2-AS1,0.0019124984,0.0026409335
HLA-DPB1,0.0019117288,0.0006329077
NXPH1,0.0019098567,0.017153963
FOXA1,0.0019063401,0.00082394225
NAALADL2-AS2,0.0019043729,0.0011061011
LINC02055,0.0019039299,0.0033850065
EYA1,0.0018875005,0.004009663
ASIC2,0.0018846109,0.010087978
PCDHA4-1,0.0018792332,0.0041740956
SRRM5,0.0018752349,0.0011874117
LYSMD2,0.0018722587,0.0025829691
NECTIN3-AS1,0.0018715695,0.0010054776
ASS1,0.0018645731,0.0030895493
CFAP144,0.0018619131,0.0067890068
LDB2-1,0.0018583089,0.03985556
ARHGAP6,0.0018567273,0.0067191897
ADAMTS17,0.0018542736,0.011437591
PEX5L,0.0018531218,0.005695615
IFT70A,0.0018452738,0.0012064035
BRINP2,0.0018437447,0.0014707199
SLC36A1,0.0018402832,0.0030909402
POU2F2,0.0018388035,0.0034278966
PCOLCE2,0.0018328483,0.0015268429
DIRAS3,0.0018238275,0.0015388848
LINC01266,0.0018207696,0.0050180433
TEX26,0.0018197185,0.0042210384
CNTN2,0.0018189825,0.0021408724
RERGL,0.0018152691,0.006215183
SLC38A3,0.0018129455,0.005044598
NTF3,0.0018111182,0.0013191223
GLI1,0.0018097128,0.0021952803
EFCAB11,0.0017999501,0.010212915
RASGRF2,0.0017846986,0.0040842886
KCNQ5,0.0017746633,0.010483006
SMIM45,0.0017733877,0.0013392881
GPR3,0.0017674065,5.4476465e-07
CLDN10,0.0017666016,0.0029641993
FGF17,0.0017618231,0.0012349902
BMPER,0.0017533028,0.0036744021
KCNE5,0.0017531104,0.0077018132
