gene,bio_rank,ko_l2_mean,residual_l2,resid_rank,mean_expr,frac_expr,is_ref
NACA,2,0.28709322,0.1613040160679844,1,4.8554745,0.9667153284671532,FALSE
SOX11,8,0.22454768,0.14365426155812797,2,2.04,0.5792700729927007,FALSE
HNRNPH1,16,0.19657987,0.12254966881222021,3,1.9941605,0.6616058394160584,FALSE
MARCKS,6,0.2420789,0.10714435601718053,4,5.3754745,0.964963503649635,FALSE
TUBA1B,1,0.30695167,0.08639659199238293,5,13.150365,0.9497810218978102,FALSE
SET,22,0.14580493,0.07948306457822694,6,1.9220438,0.741897810218978,FALSE
FABP7,4,0.25511453,0.072653777929750335,7,7.8864236,0.7725547445255474,FALSE
NFIB,14,0.20556094,0.0723184209250155,8,4.829197,0.8423357664233576,FALSE
CKB,3,0.2604324,0.0712488488729149,9,9.699854,0.9763503649635036,FALSE
PANTR1,18,0.17887503,0.07113346765646267,10,3.511241,0.8154744525547445,FALSE
PTPRS,30,0.12781788,0.0705859929548809,11,1.4140146,0.5664233576642336,FALSE
PAX6,33,0.12430174,0.06667476813423946,12,1.4867153,0.6096350364963503,TRUE
NFIA,12,0.20969468,0.0649537845040011,13,5.4335766,0.8262773722627738,FALSE
TPI1,19,0.17246673,0.06235539697203292,14,3.90073,0.9162043795620438,FALSE
CTNNB1,28,0.12875706,0.06138756393186902,15,1.8910949,0.7077372262773722,FALSE
NR2F1,37,0.11870495,0.058204796009134606,16,1.4864234,0.5643795620437956,FALSE
MIR9-1HG,5,0.25111514,0.05576532548290632,17,9.098686,0.7833576642335767,FALSE
MEIS2,15,0.19750121,0.050297917675975454,18,4.8969345,0.6426277372262774,FALSE
PKM,25,0.13287525,0.0484100225555607,19,2.7223358,0.8604379562043796,FALSE
MARCKSL1,17,0.19525419,0.046444262883224716,20,6.3591240000000004,0.9862773722627736,FALSE
CDC42,61,0.0978498,0.044890382457409866,21,1.4569343,0.6627737226277373,FALSE
EMX2,41,0.116600245,0.042663590954475236,22,1.790365,0.5456934306569343,FALSE
MAP1B,11,0.2180596,0.04207636888199651,23,8.394452,0.9667153284671532,FALSE
TUBB3,43,0.11505629,0.04119096311197897,24,2.2423358,0.7967883211678832,FALSE
H2AZ1,10,0.22146204,0.03934242354308095,25,8.823358,0.9448175182481752,FALSE
GAS5,49,0.10911679,0.037434661311802425,26,2.2183943,0.8186861313868613,FALSE
CRB2,106,0.06836484,0.03575372817309928,27,0.7859854,0.4508029197080292,FALSE
STMN1,9,0.22217232,0.03565856629820858,28,9.48,0.9836496350364964,FALSE
TCF7L2,44,0.111066125,0.03448865397853244,29,1.8727007,0.5527007299270073,FALSE
CLU,78,0.08659018,0.03042987986819314,30,1.5170803,0.6528467153284672,FALSE
LINC01551,35,0.11976218,0.030219891267075333,31,2.2078831,0.5331386861313868,FALSE
UHRF1,127,0.059015542,0.02888165832287673,32,0.7232117,0.4300729927007299,FALSE
PTN,7,0.2270489,0.025999670562006957,33,9.64438,0.7816058394160584,FALSE
ZIC1,105,0.069375314,0.02577670586921972,34,0.8090511,0.2998540145985401,FALSE
TUBB2A,45,0.10985613,0.02518243135205644,35,2.438832,0.7252554744525548,FALSE
FGFR3,209,0.043998618,0.02458266795001017,36,0.40145984,0.2540145985401459,FALSE
DUT,73,0.09084934,0.024435825084204207,37,1.8411679,0.6937226277372263,FALSE
FABP5P1,46,0.10981466,0.023390110088245406,38,2.5089052,0.7313868613138687,FALSE
PTMS,53,0.105963305,0.02210387768346941,39,2.4814599,0.7585401459854014,FALSE
TCF7L2-1,31,0.12487293,0.022079762510118464,40,3.2458394,0.7921167883211678,FALSE
MPPED2,47,0.10976122,0.021420794157357072,41,2.3360584,0.6172262773722628,FALSE
LINC00461,40,0.116700664,0.02067596000214278,42,3.0569344,0.8224817518248175,FALSE
FOXG1,149,0.05354541,0.01920980019144638,43,0.7471533,0.3871532846715328,FALSE
BASP1,56,0.10385733,0.018416990646109674,44,2.6437957,0.8096350364963504,FALSE
RANBP1,48,0.10962752,0.016582698869727373,45,3.0668614,0.8732846715328467,FALSE
SOX2-OT,64,0.09537824,0.016216707332297138,46,2.098102,0.637956204379562,FALSE
MEG3,102,0.071220584,0.0161500971605243,47,1.3845255,0.5798540145985401,FALSE
NNAT,32,0.12477599,0.01600646941003886,48,3.6945984,0.8656934306569343,FALSE
GLI3,70,0.091979876,0.015582680888376171,49,2.0221899,0.64,FALSE
EEF1D,39,0.11679485,0.015516211024021875,50,3.5237956,0.9214598540145984,FALSE
ZIC2,292,0.03257857,0.015464654905245423,51,0.34072992,0.2163503649635036,FALSE
TYMS,141,0.055673704,0.015308631263375748,52,0.9159124,0.4461313868613138,FALSE
LDHB,51,0.106892586,0.014838356468629757,53,3.049635,0.8817518248175182,FALSE
HES6,123,0.06255556,0.014383103774964575,54,1.0230657,0.4143065693430657,FALSE
NFIX,284,0.033894848,0.014321163572827011,55,0.390073,0.237956204379562,FALSE
EGR1,91,0.076994404,0.01369033785534009,56,1.1296351,0.2624817518248175,FALSE
FOXP2,128,0.05889922,0.013530756246414888,57,0.98072994,0.4230656934306569,FALSE
FGFBP3,146,0.054171927,0.01338843289702644,58,0.8890511,0.4160583941605839,FALSE
TTYH1,42,0.11567057,0.013168289694640279,59,3.3976643,0.8551824817518248,FALSE
SCHIP1,139,0.056005478,0.01315274386867226,60,1.1938686,0.6327007299270073,FALSE
TFAP2C,352,0.026605336,0.013068188244755308,61,0.29313868,0.2122627737226277,FALSE
CA12,256,0.037494138,0.012907137806252224,62,0.53868616,0.3284671532846715,FALSE
CDON,92,0.074852645,0.012900929690073623,63,1.4837956,0.5398540145985401,FALSE
CLYBL,165,0.051048443,0.012679422455692813,64,0.6972263,0.2756204379562044,FALSE
LIX1,162,0.052189764,0.012306339856822508,65,0.97635037,0.5054014598540146,FALSE
BCL11A,144,0.055286914,0.011473707500260078,66,1.1173723,0.5585401459854015,FALSE
