gene,bio_rank,ko_l2_mean,mean_expr,frac_expr
TUBA1B,1,0.30695167,13.150365,0.9497810218978102
NACA,2,0.28709322,4.8554745,0.9667153284671532
CKB,3,0.2604324,9.699854,0.9763503649635036
FABP7,4,0.25511453,7.8864236,0.7725547445255474
MIR9-1HG,5,0.25111514,9.098686,0.7833576642335767
MARCKS,6,0.2420789,5.3754745,0.964963503649635
PTN,7,0.2270489,9.64438,0.7816058394160584
SOX11,8,0.22454768,2.04,0.5792700729927007
STMN1,9,0.22217232,9.48,0.9836496350364964
H2AZ1,10,0.22146204,8.823358,0.9448175182481752
MAP1B,11,0.2180596,8.394452,0.9667153284671532
NFIA,12,0.20969468,5.4335766,0.8262773722627738
HMGB1,13,0.20927943,13.110073,0.9906569343065692
NFIB,14,0.20556094,4.829197,0.8423357664233576
MEIS2,15,0.19750121,4.8969345,0.6426277372262774
HNRNPH1,16,0.19657987,1.9941605,0.6616058394160584
MARCKSL1,17,0.19525419,6.359124,0.9862773722627736
PANTR1,18,0.17887503,3.511241,0.8154744525547445
TPI1,19,0.17246673,3.90073,0.9162043795620438
NPAS3,20,0.16272694,6.6239414,0.9413138686131388
MIR99AHG,21,0.1481039,6.128467,0.9144525547445256
SET,22,0.14580493,1.9220438,0.741897810218978
HES1,23,0.14449981,5.0508027,0.8478832116788321
SOX5,24,0.13863422,5.502774,0.9074452554744524
PKM,25,0.13287525,2.7223358,0.8604379562043796
NKAIN3,26,0.13243121,4.9214597,0.8616058394160584
FOS,27,0.13015844,4.140146,0.5886131386861314
CTNNB1,28,0.12875706,1.8910949,0.7077372262773722
JUN,29,0.12859821,4.4864235,0.8274452554744526
PTPRS,30,0.12781788,1.4140146,0.5664233576642336
TCF7L2-1,31,0.12487293,3.2458394,0.7921167883211678
NNAT,32,0.12477599,3.6945984,0.8656934306569343
PAX6,33,0.12430174,1.4867153,0.6096350364963503
SOX4,34,0.12003148,3.7506568,0.8665693430656934
LINC01551,35,0.11976218,2.2078831,0.5331386861313868
NPM1,36,0.1189774,4.170511,0.9471532846715328
NR2F1,37,0.11870495,1.4864234,0.5643795620437956
DACH1,38,0.11868963,3.7132847,0.670948905109489
EEF1D,39,0.11679485,3.5237956,0.9214598540145984
LINC00461,40,0.116700664,3.0569344,0.8224817518248175
EMX2,41,0.116600245,1.790365,0.5456934306569343
TTYH1,42,0.11567057,3.3976643,0.8551824817518248
TUBB3,43,0.11505629,2.2423358,0.7967883211678832
TCF7L2,44,0.111066125,1.8727007,0.5527007299270073
TUBB2A,45,0.10985613,2.438832,0.7252554744525548
FABP5P1,46,0.10981466,2.5089052,0.7313868613138687
MPPED2,47,0.10976122,2.3360584,0.6172262773722628
RANBP1,48,0.10962752,3.0668614,0.8732846715328467
