gene,pearson_r_70d,pearson_r_115d
SNTG1,-0.08303643763065338,-0.29577556252479553
WNT4,-0.08301261812448502,-0.07413241267204285
SP5,-0.08296849578619003,0.005906353704631329
ETFB,0.08254394680261612,0.16649648547172546
ATOH8,-0.0825342983007431,0.006460764445364475
SNAP25-AS1,0.08236829936504364,0.03878094255924225
HES6,0.08218811452388763,0.1709652841091156
EDNRB,0.08215124160051346,0.3789171576499939
NPY,-0.08179638534784317,0.09730890393257141
KHDRBS2,0.08160430192947388,-0.1830022633075714
OCA2,-0.08152854442596436,0.014593491330742836
KCNB2,0.08149224519729614,-0.16545936465263367
LRRTM2,-0.08113078773021698,-0.04412063956260681
ATRNL1,0.08104673027992249,0.03099655732512474
NECAB1,-0.08079466968774796,-0.0815940871834755
ADARB2,-0.08062678575515747,-0.0752948671579361
SASH1,-0.08044257014989853,-0.0004328647628426552
RPL41,0.07996322214603424,-0.005827886052429676
POT1-AS1,-0.07992520183324814,-0.14877524971961975
TEKT1,-0.07974252104759216,0.08610473573207855
HDAC9,-0.07970276474952698,-0.2209472358226776
NPTX2,0.07953806221485138,0.12014782428741455
RHOBTB3,-0.07942110300064087,0.014765821397304535
KLHL29,-0.07941056042909622,-0.2074158787727356
DDAH1,-0.07909441739320755,-0.08863189071416855
GRM1,0.07890908420085907,0.06005290523171425
HSP90AA1,-0.07886454463005066,-0.07827958464622498
MT-TV,0.07885104417800903,0.07309117913246155
NEFL,-0.0787641853094101,-0.02937096357345581
LAMP5,-0.07856889069080353,-0.08878740668296814
PSD3,-0.07824217528104782,0.04284004122018814
PKN2,-0.07806427031755447,-0.08757774531841278
DNAJB6,-0.07803154736757278,-0.04022626578807831
DTNA,-0.0779992938041687,0.11158528178930283
SEL1L3,-0.07777795195579529,-0.1456572711467743
MSX2,-0.0777374655008316,0.005460699088871479
PRKD1,-0.07740607857704163,-0.07807749509811401
SEMA5A,-0.07726245373487473,-0.18545430898666382
LINC02428,0.07724423706531525,-0.0054093110375106335
NPPC-1,0.07719153165817261,0.11967019736766815
ZEB1,0.07712320238351822,-0.12245301902294159
NR3C2,0.07704605162143707,0.20282834768295288
BMT2,-0.07701186090707779,-0.07588326930999756
LRP2,0.07691380381584167,0.12152868509292603
DPP10,0.07671931385993958,-0.08591195940971375
CLDN19,-0.07644833624362946,-0.005761994514614344
RGS20,-0.07627981156110764,0.030436061322689056
C1QTNF7-AS1,-0.07607848942279816,0.001852697692811489
NUP37,-0.07607823610305786,0.008373931050300598
CLU,-0.07601723819971085,0.10464666783809662
SORBS2,-0.07599422335624695,-0.11763079464435577
CA4,-0.07590076327323914,-0.0796733945608139
NGFR,-0.07587296515703201,0.022914988920092583
PDGFD,-0.07582408934831619,-0.26523837447166443
ABTB2,-0.07580962777137756,0.012770295143127441
GRIA1,-0.0757717564702034,0.05903230607509613
PDGFC,-0.0757661759853363,-0.060837648808956146
ASCL1,-0.07576455175876617,0.1636621654033661
TERF2IP,0.0756465345621109,0.006041438318789005
LINC00698,-0.07563155144453049,-0.015482953749597073
HSPH1,-0.07556671649217606,-0.09377118200063705
PHLDA1,-0.07549066841602325,-0.06608087569475174
VCAN,-0.0754665955901146,-0.1971149891614914
MEIS2,-0.07535015791654587,-0.29458051919937134
EGR1,-0.07532364130020142,0.014624282717704773
ZFPM2-AS1,-0.07516862452030182,0.12360507994890213
WNT8B,-0.07515710592269897,-0.050043098628520966
BOC,-0.07470495998859406,0.009030800312757492
RPSA,0.07470391690731049,0.05035603046417236
MEG8,0.07445424795150757,-0.06655256450176239
GRIA4,0.07436087727546692,0.03480582311749458
DLEU2,-0.07433804124593735,-0.09884355217218399
QPRT,0.07429951429367065,0.07799098640680313
H2BC5,-0.07426455616950989,0.08426624536514282
PRDM16,-0.07426150143146515,-0.19755131006240845
GLI2,-0.07424913346767426,0.050682514905929565
DUSP16,-0.07414571195840836,-0.18059980869293213
DGKB,-0.07407591491937637,0.041214585304260254
NCOA2-1,-0.07406827807426453,-0.1197347640991211
ZIC1,-0.0734865665435791,0.1704290807247162
PRELID2,-0.07346964627504349,-0.1718798577785492
COL1A2,-0.07334449887275696,0.05991935729980469
RRM2,0.07333500683307648,0.11292451620101929
LSM5,-0.07321010529994965,0.08416242897510529
GLI1,0.07302208244800568,0.10688300430774689
PLXNA2,0.07295519858598709,-0.01421678252518177
TRIM38,0.07252999395132065,0.02732420712709427
NRP1,0.07218204438686371,0.10535928606987
GSN,-0.07191751152276993,0.15572485327720642
AGBL4,0.0718926191329956,0.12567585706710815
CTNNA3,-0.07176224142313004,0.11727586388587952
PCSK1N,-0.07173731923103333,0.1216236799955368
PILRB,-0.07166965305805206,-0.10976631194353104
TCF12,-0.07161223143339157,0.08063970506191254
TENM2,0.07115951925516129,-0.11531757563352585
SPOCK1,-0.07098612934350967,-0.19857126474380493
PALLD,-0.07077065855264664,-0.17874392867088318
SHISA9,-0.07067704945802689,-0.13542167842388153
H2BC6-AS1,-0.0705820769071579,0.009579770267009735
APELA,0.0704292431473732,0.0
MAGI2,-0.07028666883707047,-0.2121766209602356
TMEM161B-DT,-0.0702684223651886,-0.09063366055488586
TMA7,0.06997237354516983,0.18652722239494324
LHX5-AS1,-0.06989851593971252,-0.0010659480467438698
UBA6-DT,-0.06976917386054993,-0.10780148208141327
PCDHGB4-1,-0.0690457820892334,0.278838574886322
CACNG2,0.06878053396940231,0.004205303266644478
NAALADL2,-0.06870442628860474,-0.019391831010580063
NFIX,-0.06849076598882675,-0.02644306980073452
NTN1,0.06833764910697937,0.24364681541919708
SOX5,-0.0683344155550003,-0.22230324149131775
UNC5C,-0.06831544637680054,-0.08520209789276123
H4C3,-0.06802839040756226,0.07243064790964127
SYNPR,-0.06732308119535446,-0.09268976747989655
MLLT11,0.06730206310749054,0.008121278136968613
POLQ-1,-0.06729359924793243,0.04103415086865425
LINC02223,0.06682118773460388,0.052215613424777985
PLCB1,-0.06679133325815201,-0.20563994348049164
NCAM1,0.06674705445766449,-0.026221711188554764
ADGRB3,0.0666620060801506,-0.06481168419122696
DLEU7,-0.06641779839992523,-0.1404038518667221
DOCK2,0.06636785715818405,0.05336035415530205
ANK2,-0.06631307303905487,-0.44252175092697144
NEUROD4,0.0662795901298523,0.11185160279273987
PROX1,-0.06611180305480957,-0.11744377017021179
DLGAP1,-0.06545758992433548,-0.3055381178855896
DMD,-0.06543658673763275,-0.1285679042339325
PTPRU-1,-0.06534180045127869,0.008556692861020565
RGS16,-0.06533802300691605,0.019058147445321083
TSHZ3,0.06526036560535431,-0.007382668554782867
HEY1,-0.06521706283092499,0.14570492506027222
RGS7,0.06492897868156433,-0.1938479095697403
ADGRL2,-0.06492830067873001,-0.26926320791244507
RORB,-0.06489920616149902,-0.1766013354063034
MITF,0.06476661562919617,0.05674631893634796
CSMD1,0.0647522509098053,0.24290060997009277
DYNLL1-1,-0.06473037600517273,0.14924541115760803
SERPINF1,-0.06463301181793213,-0.005127985030412674
GRM5,0.06456922739744186,-0.0909539982676506
PACRG,0.06435498595237732,0.03903829678893089
LIPG,-0.0642910748720169,-0.22015158832073212
PLD5,0.06419546157121658,0.19539302587509155
CMAHP,0.06390243768692017,0.21185076236724854
GADL1,-0.06374850869178772,-0.04270745441317558
CADM1,-0.06373143196105957,-0.2002168744802475
TPD52L1,-0.06324217468500137,-0.13057991862297058
HEPN1,0.06316480040550232,0.181783989071846
RBMX,-0.06316433846950531,0.07035527378320694
DCLK1,-0.06315650790929794,-0.01588042639195919
KRT17,-0.06284205615520477,0.0
GOLGA2P10,-0.0627562552690506,0.058268919587135315
